ORF,Name,Allele,Strain ID,Num_cells,Num_cells_outliers,Penetrance,normal,Cluster_normal-0,Cluster_normal-1,Cluster_normal-10,Cluster_normal-11,Cluster_normal-2,Cluster_normal-3,Cluster_normal-4,Cluster_normal-5,Cluster_normal-6,Cluster_normal-7,Cluster_normal-8,Cluster_normal-9
YCR090C,,,dma611,557,92,0.1651705565529623,1.0,0.1195652173913043,0.0652173913043478,0.0434782608695652,0.0,0.0,0.391304347826087,0.0326086956521739,0.0434782608695652,0.0760869565217391,0.0978260869565217,0.0652173913043478,0.0652173913043478
YER069W,"ARG5,6",,dma1377,461,112,0.2429501084598698,1.0,0.125,0.0178571428571428,0.0982142857142857,0.0089285714285714,0.0,0.2410714285714285,0.0178571428571428,0.0178571428571428,0.0982142857142857,0.0714285714285714,0.0892857142857142,0.2142857142857142
YER161C,SPT2,,dma1464,1016,165,0.1624015748031496,1.0,0.1212121212121212,0.0484848484848484,0.0787878787878787,0.0,0.0,0.0484848484848484,0.1454545454545454,0.0545454545454545,0.1212121212121212,0.0848484848484848,0.0424242424242424,0.2545454545454545
YER167W,BCK2,,dma1459,706,110,0.1558073654390935,1.0,0.1,0.0454545454545454,0.0636363636363636,0.0,0.0,0.2454545454545454,0.009090909090909,0.1636363636363636,0.0454545454545454,0.109090909090909,0.0818181818181818,0.1363636363636363
YEL061C,CIN8,,dma1302,529,98,0.1852551984877126,1.0,0.1224489795918367,0.0,0.0918367346938775,0.0,0.0,0.1632653061224489,0.1632653061224489,0.173469387755102,0.0408163265306122,0.1224489795918367,0.0204081632653061,0.1020408163265306
YFR025C,HIS2,,dma1568,227,89,0.3920704845814978,1.0,0.1685393258426966,0.0337078651685393,0.0674157303370786,0.0,0.0,0.4943820224719101,0.0561797752808988,0.0337078651685393,0.0786516853932584,0.0,0.0224719101123595,0.0449438202247191
YGL154C,LYS5,,dma1700,651,138,0.2119815668202765,1.0,0.1376811594202898,0.0072463768115942,0.1159420289855072,0.0,0.0072463768115942,0.2971014492753623,0.0507246376811594,0.0289855072463768,0.0579710144927536,0.0507246376811594,0.0,0.2463768115942029
YJL088W,ARG3,,dma2486,547,117,0.2138939670932358,1.0,0.1196581196581196,0.017094017094017,0.0598290598290598,0.0,0.0,0.5982905982905983,0.017094017094017,0.0256410256410256,0.0085470085470085,0.0085470085470085,0.094017094017094,0.0512820512820512
YKL032C,IXR1,,dma2770,368,94,0.2554347826086957,1.0,0.1489361702127659,0.0319148936170212,0.0851063829787234,0.0,0.0,0.1063829787234042,0.0957446808510638,0.0212765957446808,0.0744680851063829,0.1382978723404255,0.0744680851063829,0.2234042553191489
YMR233W,TRI1,,dma3824,329,96,0.2917933130699088,1.0,0.15625,0.0,0.0208333333333333,0.0,0.0,0.4583333333333333,0.0416666666666666,0.0729166666666666,0.0208333333333333,0.0208333333333333,0.15625,0.0520833333333333
YML009C-A,,,dma3525,679,86,0.1266568483063328,1.0,0.1162790697674418,0.127906976744186,0.1162790697674418,0.0,0.0,0.0465116279069767,0.0232558139534883,0.0116279069767441,0.0813953488372093,0.2209302325581395,0.127906976744186,0.127906976744186
YOL064C,MET22,,dma4348,445,83,0.1865168539325842,1.0,0.1204819277108433,0.072289156626506,0.0481927710843373,0.0,0.0,0.1204819277108433,0.0843373493975903,0.072289156626506,0.1325301204819277,0.0963855421686747,0.072289156626506,0.180722891566265
YOR312C,RPL20B,,dma4693,903,312,0.3455149501661129,1.0,0.1217948717948717,0.0192307692307692,0.0384615384615384,0.0,0.0,0.4166666666666667,0.1025641025641025,0.048076923076923,0.0608974358974358,0.0096153846153846,0.016025641025641,0.1666666666666666
