ORF,Name,Allele,Strain ID,Num_cells,Num_cells_outliers,Penetrance,normal,Cluster_normal-0,Cluster_normal-1,Cluster_normal-10,Cluster_normal-11,Cluster_normal-2,Cluster_normal-3,Cluster_normal-4,Cluster_normal-5,Cluster_normal-6,Cluster_normal-7,Cluster_normal-8,Cluster_normal-9
YMR220W,ERG8,erg8-1,tsa320-37C,1252,359,0.2867412140575079,1.0,0.0696378830083565,0.0891364902506963,0.1699164345403899,0.0250696378830083,0.0055710306406685,0.0,0.0139275766016713,0.0724233983286908,0.0947075208913649,0.1337047353760445,0.1476323119777158,0.1782729805013927
YLR347C,KAP95,kap95-l63a,tsa226-37C,632,318,0.5031645569620253,1.0,0.0691823899371069,0.0660377358490566,0.1415094339622641,0.0534591194968553,0.0125786163522012,0.0062893081761006,0.1446540880503144,0.0943396226415094,0.0754716981132075,0.0566037735849056,0.1477987421383647,0.1320754716981132
YHR191C,CTF8,ctf8-162,tsa322-37C,184,98,0.532608695652174,1.0,0.0408163265306122,0.0510204081632653,0.1530612244897959,0.0816326530612244,0.0204081632653061,0.010204081632653,0.0918367346938775,0.2142857142857142,0.0306122448979591,0.1122448979591836,0.1428571428571428,0.0510204081632653
YGR179C,OKP1,okp1-5,tsa227-37C,727,300,0.4126547455295736,1.0,0.1,0.0366666666666666,0.0666666666666666,0.0733333333333333,0.0,0.0133333333333333,0.2733333333333333,0.0566666666666666,0.0566666666666666,0.0466666666666666,0.1333333333333333,0.1433333333333333
YHR191C,CTF8,ctf8-9,tsa323-37C,221,103,0.4660633484162896,1.0,0.0679611650485436,0.0194174757281553,0.087378640776699,0.058252427184466,0.0097087378640776,0.0,0.1262135922330097,0.233009708737864,0.0776699029126213,0.0970873786407767,0.174757281553398,0.0485436893203883
YLR347C,KAP95,kap95-e126k,tsa228-37C,1700,370,0.2176470588235294,1.0,0.0837837837837837,0.1,0.1378378378378378,0.081081081081081,0.0324324324324324,0.0108108108108108,0.0459459459459459,0.0648648648648648,0.0891891891891892,0.1,0.1162162162162162,0.1378378378378378
YGR140W,CBF2,cbf2-1,tsa133-37C,1693,252,0.1488481984642646,1.0,0.0873015873015873,0.0793650793650793,0.0595238095238095,0.0952380952380952,0.0158730158730158,0.0079365079365079,0.123015873015873,0.0753968253968253,0.123015873015873,0.0952380952380952,0.1111111111111111,0.1269841269841269
YIL068C,SEC6,sec6-4,tsa38-37C,2641,1024,0.387731919727376,1.0,0.0771484375,0.0556640625,0.0849609375,0.0341796875,0.1611328125,0.0283203125,0.013671875,0.1455078125,0.0087890625,0.072265625,0.1806640625,0.1376953125
YGL233W,SEC15,sec15-1,tsa40-37C,1254,667,0.5318979266347688,1.0,0.0164917541229385,0.025487256371814,0.04047976011994,0.0134932533733133,0.4227886056971514,0.032983508245877,0.0044977511244377,0.0974512743628185,0.0089955022488755,0.0614692653673163,0.184407796101949,0.0914542728635682
YFL039C,ACT1,act1-101,tsa136-37C,692,293,0.4234104046242775,1.0,0.030716723549488,0.0853242320819112,0.0921501706484641,0.0238907849829351,0.0102389078498293,0.0170648464163822,0.0511945392491467,0.1228668941979522,0.0443686006825938,0.1843003412969283,0.2116040955631399,0.1262798634812286
YER157W,COG3,cog3-1,tsa41-37C,149,113,0.7583892617449665,1.0,0.0088495575221238,0.0088495575221238,0.0265486725663716,0.0,0.415929203539823,0.1592920353982301,0.0176991150442477,0.1504424778761062,0.0265486725663716,0.0176991150442477,0.1327433628318584,0.0353982300884955
YFL039C,ACT1,act1-4,tsa138-37C,951,462,0.4858044164037854,1.0,0.0735930735930736,0.0670995670995671,0.0779220779220779,0.0173160173160173,0.0129870129870129,0.0043290043290043,0.0584415584415584,0.1515151515151515,0.0411255411255411,0.1103896103896103,0.2337662337662337,0.1515151515151515
YER008C,SEC3,sec3-2,tsa43-37C,2006,905,0.4511465603190429,1.0,0.0243093922651933,0.0276243093922651,0.056353591160221,0.0143646408839779,0.3535911602209944,0.0861878453038674,0.0022099447513812,0.1513812154696132,0.005524861878453,0.0408839779005524,0.1856353591160221,0.0519337016574585
YDR170C,SEC7,sec7-1,tsa44-37C,2130,782,0.3671361502347418,1.0,0.0562659846547314,0.0652173913043478,0.0907928388746803,0.0294117647058823,0.0460358056265984,0.0051150895140664,0.0217391304347826,0.1943734015345268,0.0166240409207161,0.0652173913043478,0.2493606138107416,0.159846547314578
YBL050W,SEC17,sec17-1,tsa45-37C,936,514,0.5491452991452992,1.0,0.036964980544747,0.046692607003891,0.1050583657587548,0.0077821011673151,0.0214007782101167,0.0038910505836575,0.0194552529182879,0.1770428015564202,0.0330739299610894,0.0719844357976653,0.2859922178988326,0.1906614785992217
YFL039C,ACT1,act1-133,tsa141-37C,313,123,0.3929712460063898,1.0,0.024390243902439,0.08130081300813,0.1544715447154471,0.040650406504065,0.024390243902439,0.024390243902439,0.073170731707317,0.040650406504065,0.0975609756097561,0.1869918699186991,0.1300813008130081,0.1219512195121951
YIL109C,SEC24,sec24-2,tsa189-37C,1787,667,0.3732512590934527,1.0,0.0659670164917541,0.0839580209895052,0.0764617691154422,0.0284857571214392,0.0269865067466266,0.0134932533733133,0.0149925037481259,0.1244377811094452,0.0239880059970015,0.0824587706146926,0.2383808095952024,0.2203898050974512
