ORF,Name,Allele,Strain ID,Num_cells,Num_cells_outliers,Penetrance,normal,Cluster_normal-0,Cluster_normal-1,Cluster_normal-10,Cluster_normal-11,Cluster_normal-2,Cluster_normal-3,Cluster_normal-4,Cluster_normal-5,Cluster_normal-6,Cluster_normal-7,Cluster_normal-8,Cluster_normal-9
YDL215C,GDH2,,dma794,513,92,0.1793372319688109,1.0,0.1739130434782608,0.0217391304347826,0.0,0.0,0.0869565217391304,0.1521739130434782,0.0869565217391304,0.0,0.0869565217391304,0.0,0.217391304347826,0.1739130434782608
YDR265W,PEX10,,dma1031,2596,931,0.3586286594761171,1.0,0.271750805585392,0.0257787325456498,0.0,0.0,0.0526315789473684,0.2781954887218045,0.1783029001074113,0.0,0.0268528464017185,0.0,0.0408163265306122,0.1256713211600429
YDR198C,RKM2,,dma962,2017,684,0.3391175012394645,1.0,0.4239766081871345,0.0073099415204678,0.0,0.0,0.0847953216374269,0.0891812865497076,0.1944444444444444,0.0,0.0073099415204678,0.0,0.0350877192982456,0.1578947368421052
YDR174W,HMO1,,dma952,323,76,0.2352941176470588,1.0,0.0921052631578947,0.0,0.0,0.0,0.0921052631578947,0.0394736842105263,0.1447368421052631,0.0,0.0131578947368421,0.0,0.2631578947368421,0.3552631578947368
YER162C,RAD4,,dma1463,634,162,0.2555205047318612,1.0,0.0925925925925925,0.2407407407407407,0.0,0.0,0.0493827160493827,0.2469135802469135,0.1049382716049382,0.0,0.0308641975308641,0.0,0.0925925925925925,0.1419753086419753
YDR441C,APT2,,dma1186,244,46,0.1885245901639344,1.0,0.0869565217391304,0.0217391304347826,0.0,0.0217391304347826,0.0434782608695652,0.0434782608695652,0.2608695652173913,0.0,0.0,0.0,0.0434782608695652,0.4782608695652174
YGL043W,DST1,,dma1631,228,92,0.4035087719298245,1.0,0.108695652173913,0.0,0.0,0.0,0.2065217391304347,0.0543478260869565,0.1413043478260869,0.0,0.217391304347826,0.0,0.1413043478260869,0.1304347826086956
YFR021W,ATG18,,dma1550,584,108,0.184931506849315,1.0,0.1666666666666666,0.0092592592592592,0.0,0.0,0.1203703703703703,0.1759259259259259,0.0555555555555555,0.0092592592592592,0.0,0.0,0.3333333333333333,0.1296296296296296
YHR158C,KEL1,,dma2186,466,113,0.242489270386266,1.0,0.1150442477876106,0.0088495575221238,0.0,0.0,0.1946902654867256,0.0530973451327433,0.1415929203539823,0.0,0.0530973451327433,0.0,0.3274336283185841,0.1061946902654867
YJR053W,BFA1,,dma2650,610,121,0.1983606557377049,1.0,0.0909090909090909,0.0,0.0,0.0,0.2148760330578512,0.0082644628099173,0.140495867768595,0.0,0.2066115702479339,0.0,0.1652892561983471,0.1735537190082644
YKL204W,EAP1,,dma2894,321,81,0.2523364485981308,1.0,0.1111111111111111,0.0,0.0,0.0,0.0123456790123456,0.0,0.1975308641975308,0.0,0.0,0.0,0.419753086419753,0.2592592592592592
YKR059W,TIF1,,dma2978,350,70,0.2,1.0,0.2428571428571428,0.0285714285714285,0.0,0.0,0.0571428571428571,0.0428571428571428,0.1142857142857142,0.0142857142857142,0.0428571428571428,0.0,0.0857142857142857,0.3714285714285714
YLR448W,RPL6B,,dma3499,341,88,0.2580645161290322,1.0,0.1590909090909091,0.0795454545454545,0.0,0.0,0.0568181818181818,0.1818181818181818,0.0568181818181818,0.034090909090909,0.0,0.0,0.3181818181818182,0.1136363636363636
