ORF,Name,Allele,Strain ID,Num_cells,Num_cells_outliers,Penetrance,normal,Cluster_normal-0,Cluster_normal-1,Cluster_normal-10,Cluster_normal-2,Cluster_normal-3,Cluster_normal-4,Cluster_normal-5,Cluster_normal-6,Cluster_normal-7,Cluster_normal-8,Cluster_normal-9
YCR008W,SAT4,,dma533,307,78,0.254071661237785,1.0,0.0769230769230769,0.0,0.2051282051282051,0.1923076923076923,0.0,0.1025641025641025,0.0,0.2948717948717949,0.0,0.0,0.1282051282051282
YDL074C,BRE1,,dma651,356,82,0.2303370786516854,1.0,0.1097560975609756,0.0,0.1341463414634146,0.2804878048780488,0.0,0.1341463414634146,0.0,0.2804878048780488,0.0,0.0,0.0609756097560975
YDR360W,OPI7,,dma1101,400,66,0.165,1.0,0.1363636363636363,0.0,0.0454545454545454,0.1515151515151515,0.0,0.106060606060606,0.0,0.4090909090909091,0.0,0.0,0.1515151515151515
YDR159W,SAC3,,dma960,119,47,0.3949579831932773,1.0,0.3829787234042553,0.0,0.1276595744680851,0.2978723404255319,0.0,0.0212765957446808,0.0,0.1276595744680851,0.0,0.0,0.0425531914893617
YER151C,UBP3,,dma1447,176,45,0.2556818181818182,1.0,0.0444444444444444,0.0,0.0666666666666666,0.5333333333333333,0.0,0.0666666666666666,0.0,0.2444444444444444,0.0,0.0,0.0444444444444444
YER048C,CAJ1,,dma1353,852,218,0.2558685446009389,1.0,0.146788990825688,0.0,0.091743119266055,0.1330275229357798,0.0,0.110091743119266,0.0,0.3623853211009174,0.0,0.0,0.1559633027522936
YER145C,FTR1,,dma1450,130,69,0.5307692307692308,1.0,0.0434782608695652,0.0,0.0869565217391304,0.7101449275362319,0.0,0.0434782608695652,0.0,0.1014492753623188,0.0,0.0,0.0144927536231884
YER061C,CEM1,,dma1363,231,51,0.2207792207792207,1.0,0.0784313725490196,0.0,0.0392156862745098,0.2156862745098039,0.0,0.0784313725490196,0.0,0.4117647058823529,0.0,0.0,0.1764705882352941
YDR455C,,,dma1179,178,50,0.2808988764044944,1.0,0.16,0.0,0.06,0.38,0.0,0.08,0.0,0.24,0.0,0.0,0.08
YEL061C,CIN8,,dma1302,317,100,0.3154574132492113,1.0,0.31,0.0,0.05,0.12,0.0,0.09,0.0,0.31,0.0,0.0,0.12
YEL060C,PRB1,,dma1303,574,191,0.3327526132404181,1.0,0.0680628272251308,0.0,0.1308900523560209,0.2670157068062827,0.0,0.1151832460732984,0.0,0.3350785340314136,0.0,0.0,0.0837696335078534
YER111C,SWI4,,dma1394,180,44,0.2444444444444444,1.0,0.1136363636363636,0.0,0.1363636363636363,0.2272727272727272,0.0,0.0681818181818181,0.0,0.25,0.0,0.0,0.2045454545454545
YER010C,,,dma1310,837,147,0.1756272401433691,1.0,0.1088435374149659,0.0,0.0476190476190476,0.1020408163265306,0.0,0.0748299319727891,0.0,0.4353741496598639,0.0,0.0,0.2312925170068027
YDR497C,ITR1,,dma1223,215,59,0.2744186046511628,1.0,0.2372881355932203,0.0,0.2033898305084746,0.1864406779661017,0.0,0.0847457627118644,0.0,0.2033898305084746,0.0,0.0,0.0847457627118644
YFR010W,UBP6,,dma1515,183,64,0.3497267759562841,1.0,0.203125,0.0,0.0625,0.3125,0.0,0.09375,0.0,0.265625,0.0,0.0,0.0625
YFR020W,,,dma1551,307,80,0.260586319218241,1.0,0.1375,0.0,0.05,0.15,0.0,0.0875,0.0,0.35,0.0,0.0,0.225
YGL066W,SGF73,,dma1654,437,75,0.17162471395881,1.0,0.2133333333333333,0.0,0.1066666666666666,0.2666666666666666,0.0,0.12,0.0,0.2266666666666666,0.0,0.0,0.0666666666666666
YGR066C,,,dma1843,558,104,0.1863799283154122,1.0,0.1634615384615384,0.0,0.0576923076923076,0.1057692307692307,0.0,0.1923076923076923,0.0,0.3173076923076923,0.0,0.0,0.1634615384615384
YFR040W,SAP155,,dma1580,187,56,0.2994652406417112,1.0,0.25,0.0,0.0714285714285714,0.375,0.0,0.125,0.0,0.1428571428571428,0.0,0.0,0.0357142857142857
YGL168W,HUR1,,dma1710,208,59,0.2836538461538461,1.0,0.1864406779661017,0.0,0.1186440677966101,0.2372881355932203,0.0,0.0677966101694915,0.0,0.3050847457627119,0.0,0.0,0.0847457627118644
YGL167C,PMR1,,dma1711,227,43,0.1894273127753304,1.0,0.2093023255813953,0.0,0.0465116279069767,0.2325581395348837,0.0,0.1395348837209302,0.0,0.2093023255813953,0.0,0.0,0.1627906976744186
YGL194C,HOS2,,dma1723,337,71,0.2106824925816023,1.0,0.2535211267605634,0.0,0.1690140845070422,0.2253521126760563,0.0,0.056338028169014,0.0,0.2253521126760563,0.0,0.0,0.0704225352112676
YGL046W,,,dma1629,566,95,0.1678445229681978,1.0,0.1789473684210526,0.0,0.1368421052631579,0.3263157894736842,0.0,0.0631578947368421,0.0,0.2105263157894736,0.0,0.0,0.0842105263157894
YJL115W,ASF1,,dma2518,200,54,0.27,1.0,0.3333333333333333,0.0,0.2037037037037037,0.2407407407407407,0.0,0.0555555555555555,0.0,0.0925925925925925,0.0,0.0,0.074074074074074
YIL084C,SDS3,,dma2337,400,98,0.245,1.0,0.1428571428571428,0.0,0.173469387755102,0.336734693877551,0.0,0.1224489795918367,0.0,0.2040816326530612,0.0,0.0,0.0204081632653061
YJR130C,STR2,,dma2713,624,111,0.1778846153846154,1.0,0.1441441441441441,0.0,0.009009009009009,0.3153153153153153,0.0,0.1531531531531531,0.0,0.2792792792792792,0.0,0.0,0.0990990990990991
YJR118C,ILM1,,dma2723,340,111,0.3264705882352941,1.0,0.09009009009009,0.0,0.1801801801801801,0.2342342342342342,0.0,0.1801801801801801,0.0,0.2882882882882883,0.0,0.0,0.027027027027027
YKL214C,YRA2,,dma2909,667,107,0.1604197901049475,1.0,0.1121495327102803,0.0,0.0560747663551401,0.1121495327102803,0.0,0.0934579439252336,0.0,0.411214953271028,0.0,0.0,0.2149532710280373
YKR082W,NUP133,,dma3009,177,64,0.3615819209039548,1.0,0.15625,0.0,0.078125,0.34375,0.0,0.078125,0.0,0.328125,0.0,0.0,0.015625
YKL103C,APE1,,dma2822,376,74,0.1968085106382978,1.0,0.1216216216216216,0.0,0.027027027027027,0.2567567567567567,0.0,0.0945945945945946,0.0,0.4189189189189189,0.0,0.0,0.081081081081081
YKL120W,OAC1,,dma2834,197,47,0.2385786802030456,1.0,0.1489361702127659,0.0,0.0638297872340425,0.3191489361702128,0.0,0.1489361702127659,0.0,0.2127659574468085,0.0,0.0,0.1063829787234042
YKR024C,DBP7,,dma2929,343,78,0.227405247813411,1.0,0.1923076923076923,0.0,0.0256410256410256,0.3333333333333333,0.0,0.1538461538461538,0.0,0.2435897435897435,0.0,0.0,0.0512820512820512
YLL013C,PUF3,,dma3026,490,97,0.1979591836734693,1.0,0.0927835051546391,0.0,0.0515463917525773,0.3711340206185567,0.0,0.1030927835051546,0.0,0.3092783505154639,0.0,0.0,0.0721649484536082
YKR020W,VPS51,,dma2932,345,66,0.1913043478260869,1.0,0.2575757575757575,0.0,0.0151515151515151,0.1818181818181818,0.0,0.0757575757575757,0.0,0.3333333333333333,0.0,0.0,0.1363636363636363
YKL029C,MAE1,,dma2750,207,38,0.1835748792270531,1.0,0.0526315789473684,0.0,0.0789473684210526,0.3947368421052631,0.0,0.1842105263157894,0.0,0.2368421052631578,0.0,0.0,0.0526315789473684
YKL041W,VPS24,,dma2763,137,24,0.1751824817518248,1.0,0.0833333333333333,0.0,0.0833333333333333,0.5,0.0,0.0833333333333333,0.0,0.2083333333333333,0.0,0.0,0.0416666666666666
YKL032C,IXR1,,dma2770,224,57,0.2544642857142857,1.0,0.1578947368421052,0.0,0.087719298245614,0.2982456140350877,0.0,0.087719298245614,0.0,0.2456140350877192,0.0,0.0,0.1228070175438596
YKR048C,NAP1,,dma2953,576,102,0.1770833333333333,1.0,0.2549019607843137,0.0,0.0196078431372549,0.1372549019607843,0.0,0.1274509803921568,0.0,0.3725490196078431,0.0,0.0,0.088235294117647
YKL055C,OAR1,,dma2776,73,31,0.4246575342465753,1.0,0.032258064516129,0.0,0.0,0.8064516129032258,0.0,0.0967741935483871,0.0,0.064516129032258,0.0,0.0,0.0
YLR371W,ROM2,rom2-supp1,dma3399,683,108,0.1581259150805271,1.0,0.1296296296296296,0.0,0.0555555555555555,0.1851851851851851,0.0,0.0925925925925925,0.0,0.4444444444444444,0.0,0.0,0.0925925925925925
