ORF,Name,Allele,Strain ID,Num_cells,Num_cells_outliers,Penetrance,normal,Cluster_normal-0,Cluster_normal-1,Cluster_normal-10,Cluster_normal-2,Cluster_normal-3,Cluster_normal-4,Cluster_normal-5,Cluster_normal-6,Cluster_normal-7,Cluster_normal-8,Cluster_normal-9
YCL009C,ILV6,,dma479,286,71,0.2482517482517482,1.0,0.0,0.0,0.0704225352112676,0.0,0.5352112676056338,0.0704225352112676,0.1549295774647887,0.0,0.0,0.0422535211267605,0.1267605633802817
YDR186C,,,dma966,196,55,0.2806122448979591,1.0,0.0,0.0,0.0545454545454545,0.0,0.5454545454545454,0.0545454545454545,0.2545454545454545,0.0,0.0,0.0363636363636363,0.0545454545454545
YDR310C,SUM1,,dma1063,376,187,0.4973404255319149,1.0,0.0,0.0,0.1818181818181818,0.0,0.5080213903743316,0.053475935828877,0.2032085561497326,0.0,0.0,0.0374331550802139,0.0160427807486631
YDR345C,HXT3,,dma1088,793,187,0.2358133669609079,1.0,0.0,0.0,0.1122994652406417,0.0,0.6096256684491979,0.0641711229946524,0.1283422459893048,0.0,0.0,0.0267379679144385,0.0588235294117647
YER153C,PET122,,dma1445,280,90,0.3214285714285714,1.0,0.0,0.0,0.1,0.0,0.6,0.0555555555555555,0.1777777777777777,0.0,0.0,0.0111111111111111,0.0555555555555555
YER145C,FTR1,,dma1450,137,60,0.437956204379562,1.0,0.0,0.0,0.0666666666666666,0.0,0.4333333333333333,0.0166666666666666,0.1833333333333333,0.0,0.0,0.0666666666666666,0.2333333333333333
YFR040W,SAP155,,dma1580,104,40,0.3846153846153846,1.0,0.0,0.0,0.15,0.0,0.375,0.025,0.3,0.0,0.0,0.075,0.075
YGL173C,XRN1,,dma1708,65,25,0.3846153846153846,1.0,0.0,0.0,0.12,0.0,0.28,0.0,0.6,0.0,0.0,0.0,0.0
YIL116W,HIS5,,dma2360,79,17,0.2151898734177215,1.0,0.0,0.0,0.1176470588235294,0.0,0.2352941176470588,0.0,0.6470588235294118,0.0,0.0,0.0,0.0
YIL084C,SDS3,,dma2337,249,80,0.321285140562249,1.0,0.0,0.0,0.1,0.0,0.5375,0.1125,0.175,0.0,0.0,0.025,0.05
YJR077C,MIR1,,dma2661,125,25,0.2,1.0,0.0,0.0,0.16,0.0,0.2,0.0,0.48,0.0,0.0,0.16,0.0
YKR048C,NAP1,,dma2953,170,81,0.4764705882352941,1.0,0.0,0.0,0.1851851851851851,0.0,0.5308641975308642,0.0617283950617283,0.1851851851851851,0.0,0.0,0.0246913580246913,0.0123456790123456
YLL002W,RTT109,,dma3033,243,64,0.2633744855967078,1.0,0.0,0.0,0.453125,0.0,0.171875,0.0625,0.234375,0.0,0.0,0.046875,0.03125
YJR118C,ILM1,,dma2723,307,97,0.3159609120521172,1.0,0.0,0.0,0.1030927835051546,0.0,0.5670103092783505,0.1443298969072164,0.1237113402061855,0.0,0.0103092783505154,0.0309278350515463,0.0206185567010309
YLR119W,SRN2,,dma3215,377,141,0.3740053050397878,1.0,0.0070921985815602,0.0,0.1418439716312056,0.0,0.5177304964539007,0.0567375886524822,0.1631205673758865,0.0,0.0,0.0283687943262411,0.0851063829787234
