ORF,Name,Allele,Strain ID,Num_cells,Num_cells_outliers,Penetrance,normal,Cluster_normal-0,Cluster_normal-1,Cluster_normal-10,Cluster_normal-11,Cluster_normal-2,Cluster_normal-3,Cluster_normal-4,Cluster_normal-5,Cluster_normal-6,Cluster_normal-7,Cluster_normal-8,Cluster_normal-9
YCR081W,SRB8,,dma597,622,144,0.2315112540192926,1.0,0.0,0.0763888888888889,0.2222222222222222,0.0,0.0069444444444444,0.0,0.4097222222222222,0.0,0.2083333333333333,0.0416666666666666,0.0,0.0347222222222222
YCR009C,RVS161,,dma532,486,76,0.1563786008230452,1.0,0.0526315789473684,0.1973684210526315,0.131578947368421,0.0,0.0131578947368421,0.0,0.5131578947368421,0.0,0.0526315789473684,0.0131578947368421,0.0,0.0263157894736842
YDL100C,GET3,,dma690,353,64,0.1813031161473088,1.0,0.015625,0.03125,0.203125,0.0,0.0,0.0,0.28125,0.0,0.328125,0.140625,0.0,0.0
YDR467C,,,dma1196,724,343,0.473756906077348,1.0,0.0204081632653061,0.5743440233236151,0.1311953352769679,0.0,0.0787172011661807,0.0,0.1311953352769679,0.0,0.0029154518950437,0.0,0.0,0.0612244897959183
YDR441C,APT2,,dma1186,881,136,0.1543700340522134,1.0,0.1176470588235294,0.3823529411764705,0.1029411764705882,0.0,0.0661764705882353,0.0,0.2352941176470588,0.0220588235294117,0.0514705882352941,0.0073529411764705,0.0,0.0147058823529411
YGL221C,NIF3,,dma1747,520,80,0.1538461538461538,1.0,0.0125,0.1625,0.25,0.0,0.0375,0.0,0.3625,0.0125,0.1125,0.0125,0.0,0.0375
YGL043W,DST1,,dma1631,980,166,0.1693877551020408,1.0,0.0240963855421686,0.1626506024096385,0.2108433734939759,0.0,0.036144578313253,0.0,0.3554216867469879,0.0,0.1566265060240964,0.0060240963855421,0.0,0.0481927710843373
YGR270W,YTA7,,dma2009,296,60,0.2027027027027027,1.0,0.0833333333333333,0.15,0.1833333333333333,0.0,0.0833333333333333,0.0,0.2166666666666666,0.1,0.1666666666666666,0.0,0.0,0.0166666666666666
YJR074W,MOG1,,dma2663,706,134,0.1898016997167138,1.0,0.044776119402985,0.291044776119403,0.1044776119402985,0.0,0.0970149253731343,0.0,0.2462686567164179,0.0,0.0820895522388059,0.0223880597014925,0.0,0.1119402985074626
YJL188C,BUD19,,dma2578,535,97,0.1813084112149532,1.0,0.0206185567010309,0.1752577319587628,0.1546391752577319,0.0,0.0309278350515463,0.0,0.3608247422680412,0.0103092783505154,0.134020618556701,0.0927835051546391,0.0,0.0206185567010309
YKL212W,SAC1,,dma2911,300,107,0.3566666666666667,1.0,0.102803738317757,0.5327102803738317,0.1121495327102803,0.0,0.02803738317757,0.0,0.1495327102803738,0.0,0.0560747663551401,0.0,0.0,0.0186915887850467
YLR372W,ELO3,,dma3398,607,111,0.1828665568369028,1.0,0.1261261261261261,0.3783783783783784,0.1441441441441441,0.0,0.036036036036036,0.0,0.063063063063063,0.0,0.2522522522522522,0.0,0.0,0.0
YMR031C,EIS1,,dma3638,780,143,0.1833333333333333,1.0,0.0489510489510489,0.4125874125874126,0.2307692307692307,0.0,0.0349650349650349,0.0,0.0559440559440559,0.0,0.1748251748251748,0.0069930069930069,0.0,0.0349650349650349
YNL106C,INP52,,dma4013,311,53,0.1704180064308681,1.0,0.0,0.0188679245283018,0.3773584905660377,0.0,0.0,0.0,0.3018867924528302,0.0,0.2452830188679245,0.0566037735849056,0.0,0.0
YOR141C,ARP8,,dma4550,349,62,0.1776504297994269,1.0,0.032258064516129,0.1129032258064516,0.2741935483870967,0.0,0.0,0.0,0.3548387096774194,0.0,0.1935483870967742,0.0161290322580645,0.0,0.0161290322580645
YOL108C,INO4,,dma4387,197,36,0.182741116751269,1.0,0.0,0.0555555555555555,0.3333333333333333,0.0,0.0,0.0,0.2222222222222222,0.0,0.2777777777777778,0.1111111111111111,0.0,0.0
YOR358W,HAP5,,dma4744,408,120,0.2941176470588235,1.0,0.0083333333333333,0.0666666666666666,0.1916666666666666,0.0,0.0,0.0,0.4083333333333333,0.0,0.3,0.025,0.0,0.0
YPL213W,LEA1,,dma4955,215,52,0.241860465116279,1.0,0.0192307692307692,0.0576923076923076,0.3653846153846153,0.0,0.0,0.0,0.2884615384615384,0.0,0.25,0.0,0.0,0.0192307692307692
YPL144W,POC4,,dma4881,587,155,0.2640545144804088,1.0,0.0258064516129032,0.2967741935483871,0.1161290322580645,0.0,0.0064516129032258,0.0,0.3354838709677419,0.0,0.1161290322580645,0.0774193548387096,0.0,0.0258064516129032
YPL178W,CBC2,,dma4915,533,125,0.2345215759849906,1.0,0.0,0.032,0.144,0.0,0.008,0.0,0.512,0.0,0.128,0.128,0.0,0.048
YPR074C,TKL1,,dma5065,318,88,0.2767295597484276,1.0,0.0454545454545454,0.4431818181818182,0.1477272727272727,0.0,0.1022727272727272,0.0,0.0681818181818181,0.0,0.1818181818181818,0.0113636363636363,0.0,0.0
YPR022C,SDD4,,dma5034,321,85,0.2647975077881619,1.0,0.0117647058823529,0.1647058823529411,0.4352941176470588,0.0,0.0588235294117647,0.0,0.1294117647058823,0.0,0.2,0.0,0.0,0.0
YML129C,COX14,,dma5233,202,43,0.2128712871287128,1.0,0.0,0.0,0.2790697674418604,0.0,0.0,0.0,0.1860465116279069,0.0,0.3488372093023256,0.1860465116279069,0.0,0.0
YPR050C,,,dma5062,349,63,0.1805157593123209,1.0,0.0,0.0,0.2698412698412698,0.0,0.0,0.0,0.2063492063492063,0.0,0.4444444444444444,0.0793650793650793,0.0,0.0
YGR292W,MAL12,,dma5298,267,70,0.2621722846441947,1.0,0.0142857142857142,0.0,0.3285714285714285,0.0,0.0,0.0,0.2714285714285714,0.0,0.3714285714285714,0.0142857142857142,0.0,0.0
YJR053W,BFA1,,dma2650,387,68,0.1757105943152454,1.0,0.0294117647058823,0.1029411764705882,0.1764705882352941,0.0,0.1176470588235294,0.0,0.3088235294117647,0.0,0.1911764705882352,0.0441176470588235,0.0,0.0294117647058823
YJR011C,,,dma2606,558,102,0.1827956989247312,1.0,0.0588235294117647,0.196078431372549,0.1764705882352941,0.0,0.0588235294117647,0.0,0.2745098039215686,0.0,0.2058823529411764,0.0098039215686274,0.0,0.0196078431372549
YPL226W,NEW1,,dma4968,175,51,0.2914285714285714,1.0,0.0,0.0196078431372549,0.4705882352941176,0.0,0.0,0.0,0.2156862745098039,0.0,0.2745098039215686,0.0196078431372549,0.0,0.0
YOR312C,RPL20B,,dma4693,217,59,0.271889400921659,1.0,0.0,0.0,0.3389830508474576,0.0,0.0,0.0,0.4576271186440678,0.0,0.2033898305084746,0.0,0.0,0.0
YOL094C,RFC4,rfc4-20,tsa171-37C,428,95,0.2219626168224299,1.0,0.0631578947368421,0.0631578947368421,0.1052631578947368,0.031578947368421,0.031578947368421,0.0210526315789473,0.0105263157894736,0.3052631578947368,0.3052631578947368,0.0105263157894736,0.0526315789473684,0.0
YBR160W,CDC28,cdc28-13,tsa175-37C,1076,488,0.4535315985130111,1.0,0.0922131147540983,0.4344262295081967,0.1127049180327868,0.0,0.040983606557377,0.0020491803278688,0.0225409836065573,0.0573770491803278,0.0737704918032786,0.0081967213114754,0.1495901639344262,0.0061475409836065
YLL031C,GPI13,gpi13-3-supp1,tsa196-37C,501,260,0.5189620758483033,1.0,0.1461538461538461,0.0692307692307692,0.15,0.1038461538461538,0.0423076923076923,0.2769230769230769,0.0192307692307692,0.0384615384615384,0.0615384615384615,0.0346153846153846,0.05,0.0076923076923076
YLL031C,GPI13,gpi13-5,tsa197-37C,220,130,0.5909090909090909,1.0,0.0769230769230769,0.1,0.1846153846153846,0.0384615384615384,0.0307692307692307,0.3076923076923077,0.023076923076923,0.0384615384615384,0.0846153846153846,0.0,0.0769230769230769,0.0384615384615384
YDL030W,PRP9,prp9-ts,tsa361-37C,232,145,0.625,1.0,0.1379310344827586,0.1034482758620689,0.1103448275862069,0.1241379310344827,0.0344827586206896,0.193103448275862,0.0413793103448275,0.0482758620689655,0.0896551724137931,0.0137931034482758,0.0275862068965517,0.0758620689655172
YPL082C,MOT1,mot1-1033,tsa363-37C,242,152,0.628099173553719,1.0,0.0789473684210526,0.0328947368421052,0.1052631578947368,0.2105263157894736,0.0328947368421052,0.2368421052631578,0.0131578947368421,0.0855263157894736,0.0526315789473684,0.0,0.131578947368421,0.0197368421052631
YOR157C,PUP1,pup1-1,tsa268-37C,607,111,0.1828665568369028,1.0,0.1081081081081081,0.09009009009009,0.1261261261261261,0.081081081081081,0.1081081081081081,0.027027027027027,0.081081081081081,0.072072072072072,0.1531531531531531,0.018018018018018,0.063063063063063,0.072072072072072
YJR065C,ARP3,arp3-d11a,tsa341-37C,167,87,0.5209580838323353,1.0,0.1149425287356321,0.1149425287356321,0.1149425287356321,0.057471264367816,0.0804597701149425,0.0689655172413793,0.0229885057471264,0.0804597701149425,0.0689655172413793,0.0229885057471264,0.1034482758620689,0.1494252873563218
YIL144W,NDC80,tid3-1,tsa246-37C,823,204,0.2478736330498177,1.0,0.1127450980392156,0.1078431372549019,0.1078431372549019,0.0784313725490196,0.0539215686274509,0.0294117647058823,0.0392156862745098,0.1715686274509804,0.1323529411764706,0.0049019607843137,0.1176470588235294,0.0441176470588235
YDR060W,MAK21,mak21-3,tsa250-37C,574,194,0.337979094076655,1.0,0.0927835051546391,0.1134020618556701,0.1391752577319587,0.0515463917525773,0.1288659793814432,0.0515463917525773,0.0618556701030927,0.0515463917525773,0.0876288659793814,0.0154639175257731,0.1443298969072164,0.0618556701030927
YFL039C,ACT1,act1-4,tsa138-37C,907,264,0.2910694597574421,1.0,0.0795454545454545,0.1098484848484848,0.1553030303030303,0.0454545454545454,0.0909090909090909,0.0416666666666666,0.0113636363636363,0.0492424242424242,0.0871212121212121,0.0151515151515151,0.303030303030303,0.0113636363636363
YOR336W,KRE5,kre5-ts2,tsa139-37C,237,98,0.4135021097046413,1.0,0.1326530612244898,0.2244897959183673,0.1428571428571428,0.0408163265306122,0.0408163265306122,0.1326530612244898,0.0204081632653061,0.0714285714285714,0.1020408163265306,0.0,0.0408163265306122,0.0510204081632653
YFL039C,ACT1,act1-125,tsa140-37C,156,79,0.5064102564102564,1.0,0.1392405063291139,0.0379746835443038,0.1518987341772152,0.1012658227848101,0.2151898734177215,0.0253164556962025,0.0253164556962025,0.0253164556962025,0.050632911392405,0.0886075949367088,0.1012658227848101,0.0379746835443038
