ORF,Name,Allele,Strain ID,Num_cells,Num_cells_outliers,Penetrance,normal,Cluster_normal-0,Cluster_normal-1,Cluster_normal-10,Cluster_normal-2,Cluster_normal-3,Cluster_normal-4,Cluster_normal-5,Cluster_normal-6,Cluster_normal-7,Cluster_normal-8,Cluster_normal-9
YCR033W,SNT1,,dma557,195,57,0.2923076923076923,1.0,0.4210526315789473,0.0,0.175438596491228,0.175438596491228,0.0701754385964912,0.0,0.1052631578947368,0.0,0.0,0.0526315789473684,0.0
YDL061C,RPS29B,,dma657,518,68,0.1312741312741312,1.0,0.3382352941176471,0.0,0.1911764705882352,0.0588235294117647,0.1323529411764706,0.0,0.0441176470588235,0.0441176470588235,0.0147058823529411,0.1764705882352941,0.0
YDL176W,,,dma754,436,62,0.1422018348623853,1.0,0.2258064516129032,0.0,0.3548387096774194,0.0483870967741935,0.1451612903225806,0.0161290322580645,0.1290322580645161,0.0161290322580645,0.0,0.064516129032258,0.0
YCL037C,SRO9,,dma516,273,79,0.2893772893772894,1.0,0.3544303797468354,0.0,0.189873417721519,0.1139240506329113,0.0126582278481012,0.0,0.1518987341772152,0.0,0.0,0.1772151898734177,0.0
YDL125C,HNT1,,dma698,501,81,0.1616766467065868,1.0,0.0987654320987654,0.0,0.2345679012345679,0.1728395061728395,0.074074074074074,0.0,0.2469135802469135,0.0,0.0123456790123456,0.1604938271604938,0.0
YBR231C,SWC5,,dma400,205,52,0.2536585365853658,1.0,0.1923076923076923,0.0,0.3076923076923077,0.0769230769230769,0.0192307692307692,0.0,0.2692307692307692,0.0192307692307692,0.0,0.1153846153846153,0.0
YDL149W,ATG9,,dma726,406,62,0.1527093596059113,1.0,0.1290322580645161,0.0,0.3548387096774194,0.064516129032258,0.0483870967741935,0.032258064516129,0.2741935483870967,0.0,0.0,0.0967741935483871,0.0
YDL117W,CYK3,,dma705,298,47,0.1577181208053691,1.0,0.2340425531914893,0.0,0.3191489361702128,0.1702127659574468,0.1489361702127659,0.0212765957446808,0.0851063829787234,0.0212765957446808,0.0,0.0,0.0
YCR090C,,,dma611,359,87,0.2423398328690807,1.0,0.4597701149425287,0.0,0.1724137931034483,0.0344827586206896,0.0919540229885057,0.0,0.1264367816091954,0.0,0.0,0.1149425287356321,0.0
YDL135C,RDI1,,dma710,471,66,0.1401273885350318,1.0,0.303030303030303,0.0,0.1969696969696969,0.0757575757575757,0.0909090909090909,0.0,0.1363636363636363,0.0151515151515151,0.0,0.1818181818181818,0.0
YDL081C,RPP1A,rpp1a-supp1,dma681,400,81,0.2025,1.0,0.3950617283950617,0.0,0.1851851851851851,0.074074074074074,0.1358024691358024,0.0123456790123456,0.0617283950617283,0.0,0.0,0.1358024691358024,0.0
YCL014W,BUD3,,dma474,144,48,0.3333333333333333,1.0,0.0833333333333333,0.0,0.2708333333333333,0.25,0.0625,0.0,0.1458333333333333,0.0208333333333333,0.0,0.1666666666666666,0.0
YCR044C,PER1,per1-supp1,dma575,515,104,0.2019417475728155,1.0,0.25,0.0,0.3076923076923077,0.048076923076923,0.1057692307692307,0.0,0.1634615384615384,0.0192307692307692,0.0,0.1057692307692307,0.0
YDL054C,MCH1,,dma637,655,84,0.1282442748091603,1.0,0.238095238095238,0.0,0.3452380952380952,0.0238095238095238,0.1071428571428571,0.0,0.1428571428571428,0.0119047619047619,0.0,0.1309523809523809,0.0
YBR261C,TAE1,,dma427,628,89,0.1417197452229299,1.0,0.0561797752808988,0.0,0.2808988764044944,0.0898876404494382,0.0786516853932584,0.0,0.348314606741573,0.0224719101123595,0.0,0.1235955056179775,0.0
YBR258C,SHG1,,dma430,752,117,0.1555851063829787,1.0,0.188034188034188,0.0,0.2649572649572649,0.0427350427350427,0.1196581196581196,0.0,0.1452991452991453,0.0085470085470085,0.0,0.2136752136752136,0.017094017094017
YDL020C,RPN4,,dma613,262,58,0.2213740458015267,1.0,0.0689655172413793,0.0,0.396551724137931,0.1206896551724138,0.1896551724137931,0.0172413793103448,0.1034482758620689,0.0,0.0,0.1034482758620689,0.0
YCR023C,,,dma543,696,95,0.1364942528735632,1.0,0.2631578947368421,0.0,0.2421052631578947,0.1052631578947368,0.1578947368421052,0.0,0.1052631578947368,0.0105263157894736,0.0,0.1157894736842105,0.0
YDL106C,PHO2,,dma688,195,42,0.2153846153846154,1.0,0.0952380952380952,0.0,0.3809523809523809,0.0714285714285714,0.2142857142857142,0.0476190476190476,0.0714285714285714,0.0,0.0,0.119047619047619,0.0
YCR008W,SAT4,,dma533,195,36,0.1846153846153846,1.0,0.1111111111111111,0.0,0.3333333333333333,0.1388888888888889,0.0555555555555555,0.0,0.1944444444444444,0.0,0.0277777777777777,0.1111111111111111,0.0277777777777777
YDR389W,SAC7,,dma1127,441,58,0.1315192743764172,1.0,0.2586206896551724,0.0,0.3103448275862069,0.0862068965517241,0.1034482758620689,0.0,0.0862068965517241,0.0862068965517241,0.0,0.0689655172413793,0.0
YDR094W,,,dma898,320,49,0.153125,1.0,0.2857142857142857,0.0,0.2653061224489796,0.0612244897959183,0.0612244897959183,0.0,0.0816326530612244,0.0,0.0,0.2244897959183673,0.0204081632653061
YDL232W,OST4,ost4-supp2,dma805,258,59,0.2286821705426356,1.0,0.2203389830508474,0.0,0.3050847457627119,0.0677966101694915,0.0338983050847457,0.0169491525423728,0.2372881355932203,0.0169491525423728,0.0,0.1016949152542373,0.0
YDR360W,OPI7,,dma1101,272,40,0.1470588235294117,1.0,0.15,0.0,0.3,0.2,0.175,0.0,0.125,0.0,0.0,0.05,0.0
YDR018C,,,dma851,1352,208,0.1538461538461538,1.0,0.2403846153846154,0.0,0.125,0.0288461538461538,0.4038461538461538,0.0096153846153846,0.1009615384615384,0.0673076923076923,0.0096153846153846,0.0144230769230769,0.0
YER111C,SWI4,,dma1394,247,49,0.1983805668016194,1.0,0.2244897959183673,0.0,0.3673469387755102,0.0408163265306122,0.0816326530612244,0.0204081632653061,0.1632653061224489,0.0612244897959183,0.0,0.0408163265306122,0.0
YER119C-A,,,dma1409,224,40,0.1785714285714285,1.0,0.075,0.0,0.425,0.05,0.2,0.0,0.175,0.0,0.0,0.075,0.0
YER116C,SLX8,slx8-supp1,dma1413,450,63,0.14,1.0,0.2539682539682539,0.0,0.1746031746031746,0.1587301587301587,0.0952380952380952,0.0158730158730158,0.1904761904761904,0.0,0.0158730158730158,0.0952380952380952,0.0
YFL053W,DAK2,,dma1523,1746,241,0.1380297823596792,1.0,0.2946058091286307,0.0,0.1244813278008298,0.0456431535269709,0.2946058091286307,0.0165975103734439,0.1203319502074688,0.0414937759336099,0.0124481327800829,0.0497925311203319,0.0
YER069W,"ARG5,6",,dma1377,331,46,0.1389728096676737,1.0,0.2608695652173913,0.0,0.3043478260869565,0.0652173913043478,0.0434782608695652,0.0,0.2608695652173913,0.0,0.0,0.0652173913043478,0.0
YER048C,CAJ1,,dma1353,563,78,0.1385435168738898,1.0,0.282051282051282,0.0,0.2051282051282051,0.0897435897435897,0.0512820512820512,0.0,0.2948717948717949,0.0,0.0,0.0769230769230769,0.0
YFR010W,UBP6,,dma1515,238,76,0.3193277310924369,1.0,0.5131578947368421,0.0,0.131578947368421,0.1184210526315789,0.0263157894736842,0.0394736842105263,0.0394736842105263,0.0131578947368421,0.0131578947368421,0.1052631578947368,0.0
YFR009W,GCN20,,dma1516,358,75,0.2094972067039106,1.0,0.2266666666666666,0.0,0.2933333333333333,0.0933333333333333,0.0933333333333333,0.0,0.1733333333333333,0.0,0.0,0.12,0.0
YDR497C,ITR1,,dma1223,293,134,0.4573378839590443,1.0,0.3656716417910448,0.0,0.1194029850746268,0.0223880597014925,0.208955223880597,0.0298507462686567,0.1492537313432835,0.0,0.0,0.0671641791044776,0.0373134328358208
YER120W,SCS2,,dma1408,326,55,0.1687116564417178,1.0,0.2,0.0,0.2727272727272727,0.0545454545454545,0.1454545454545454,0.0181818181818181,0.2,0.0363636363636363,0.0,0.0727272727272727,0.0
YDR459C,PFA5,,dma1177,407,55,0.1351351351351351,1.0,0.1818181818181818,0.0,0.4,0.0727272727272727,0.1636363636363636,0.0,0.1272727272727272,0.0,0.0,0.0545454545454545,0.0
YEL063C,CAN1,,dma1300,126,40,0.3174603174603174,1.0,0.075,0.0,0.3,0.075,0.0,0.0,0.4,0.0,0.0,0.15,0.0
YGL167C,PMR1,,dma1711,311,63,0.202572347266881,1.0,0.238095238095238,0.0,0.2222222222222222,0.0476190476190476,0.0793650793650793,0.0158730158730158,0.2539682539682539,0.0,0.0,0.1428571428571428,0.0
YGL031C,RPL24A,,dma1615,315,46,0.146031746031746,1.0,0.0869565217391304,0.0,0.3043478260869565,0.108695652173913,0.108695652173913,0.0217391304347826,0.108695652173913,0.0,0.0,0.2608695652173913,0.0
YGL028C,SCW11,,dma1616,1117,150,0.1342882721575649,1.0,0.2333333333333333,0.0,0.26,0.06,0.0933333333333333,0.0066666666666666,0.1666666666666666,0.08,0.0,0.1,0.0
YGL027C,CWH41,,dma1617,1489,278,0.1867024848891873,1.0,0.2733812949640288,0.0,0.2338129496402877,0.0719424460431654,0.1223021582733813,0.0035971223021582,0.1294964028776978,0.0179856115107913,0.0035971223021582,0.1438848920863309,0.0
YGR135W,PRE9,,dma1892,608,99,0.162828947368421,1.0,0.1414141414141414,0.0,0.2222222222222222,0.0505050505050505,0.2626262626262626,0.0,0.1717171717171717,0.0,0.0,0.1414141414141414,0.0101010101010101
YGR027C,RPS25A,,dma1808,417,90,0.2158273381294964,1.0,0.2111111111111111,0.0,0.2,0.1333333333333333,0.1666666666666666,0.0,0.1111111111111111,0.0111111111111111,0.0222222222222222,0.1444444444444444,0.0
YGR025W,,,dma1810,651,91,0.1397849462365591,1.0,0.2527472527472527,0.0,0.2087912087912088,0.1208791208791208,0.1208791208791208,0.0109890109890109,0.0879120879120879,0.0,0.0329670329670329,0.1648351648351648,0.0
YGL084C,GUP1,,dma1668,545,83,0.1522935779816513,1.0,0.0843373493975903,0.0,0.2409638554216867,0.072289156626506,0.216867469879518,0.0120481927710843,0.3012048192771084,0.0240963855421686,0.0,0.036144578313253,0.0120481927710843
YFR021W,ATG18,,dma1550,662,152,0.229607250755287,1.0,0.2631578947368421,0.0,0.25,0.0657894736842105,0.0855263157894736,0.0,0.2171052631578947,0.006578947368421,0.006578947368421,0.1052631578947368,0.0
YFR019W,FAB1,fab1-supp1,dma1552,765,128,0.1673202614379084,1.0,0.3046875,0.0,0.25,0.09375,0.0546875,0.015625,0.15625,0.0,0.0,0.125,0.0
YGR125W,,,dma1878,566,101,0.1784452296819788,1.0,0.3168316831683168,0.0,0.3168316831683168,0.0693069306930693,0.1188118811881188,0.0,0.0792079207920792,0.0198019801980198,0.0,0.0792079207920792,0.0
YGL127C,SOH1,,dma1671,249,74,0.2971887550200803,1.0,0.3108108108108108,0.0,0.3378378378378378,0.054054054054054,0.0135135135135135,0.0,0.1756756756756756,0.0,0.0,0.1081081081081081,0.0
