ORF,Name,Allele,Strain ID,Num_cells,Num_cells_outliers,Penetrance,normal,Cluster_normal-0,Cluster_normal-1,Cluster_normal-10,Cluster_normal-11,Cluster_normal-2,Cluster_normal-3,Cluster_normal-4,Cluster_normal-5,Cluster_normal-6,Cluster_normal-7,Cluster_normal-8,Cluster_normal-9
YDL083C,RPS16B,,dma679,543,126,0.2320441988950276,1.0,0.0,0.5476190476190477,0.0,0.0079365079365079,0.0238095238095238,0.0,0.2142857142857142,0.0238095238095238,0.0,0.0476190476190476,0.0,0.1349206349206349
YCR063W,BUD31,,dma586,423,146,0.3451536643026004,1.0,0.0,0.5547945205479452,0.0,0.0273972602739726,0.0136986301369863,0.0,0.1438356164383561,0.047945205479452,0.0410958904109589,0.0410958904109589,0.0,0.1301369863013698
YCL037C,SRO9,,dma516,625,147,0.2352,1.0,0.0,0.5510204081632653,0.0,0.0476190476190476,0.0476190476190476,0.0,0.0884353741496598,0.0408163265306122,0.0204081632653061,0.0544217687074829,0.0,0.1496598639455782
YBR267W,REI1,rei1-supp1,dma422,176,52,0.2954545454545454,1.0,0.0,0.4615384615384615,0.0,0.0192307692307692,0.0576923076923076,0.0,0.1346153846153846,0.0384615384615384,0.0192307692307692,0.0192307692307692,0.0,0.25
YCL061C,MRC1,,dma522,205,64,0.3121951219512195,1.0,0.0,0.171875,0.0,0.0625,0.0,0.0,0.109375,0.21875,0.0625,0.046875,0.0,0.328125
YCL060C,,,dma523,223,78,0.3497757847533632,1.0,0.0,0.1794871794871795,0.0,0.0128205128205128,0.0512820512820512,0.0,0.0897435897435897,0.358974358974359,0.0256410256410256,0.0384615384615384,0.0,0.2435897435897435
YDL184C,RPL41A,,dma746,299,47,0.157190635451505,1.0,0.0,0.2340425531914893,0.0,0.0,0.0212765957446808,0.0,0.1276595744680851,0.0638297872340425,0.0212765957446808,0.3404255319148936,0.0,0.1914893617021276
YCL016C,DCC1,,dma473,428,106,0.2476635514018691,1.0,0.0,0.1886792452830188,0.0,0.0094339622641509,0.0377358490566037,0.0,0.0849056603773584,0.1415094339622641,0.0471698113207547,0.0754716981132075,0.0,0.4150943396226415
YCR009C,RVS161,,dma532,99,29,0.2929292929292929,1.0,0.0,0.3793103448275862,0.0,0.0,0.1724137931034483,0.0,0.0689655172413793,0.0689655172413793,0.1034482758620689,0.0689655172413793,0.0,0.1379310344827586
YDL156W,CMR1,,dma723,720,116,0.1611111111111111,1.0,0.0,0.1637931034482758,0.0,0.0172413793103448,0.0086206896551724,0.0,0.1810344827586207,0.1120689655172413,0.043103448275862,0.2758620689655172,0.0,0.1982758620689655
YDL033C,SLM3,,dma630,288,79,0.2743055555555556,1.0,0.0,0.4683544303797468,0.0,0.0253164556962025,0.0759493670886076,0.0,0.1139240506329113,0.050632911392405,0.0253164556962025,0.050632911392405,0.0,0.189873417721519
YBR231C,SWC5,,dma400,322,66,0.2049689440993788,1.0,0.0,0.3939393939393939,0.0,0.0151515151515151,0.0151515151515151,0.0,0.3333333333333333,0.0303030303030303,0.0151515151515151,0.0303030303030303,0.0,0.1666666666666666
YCR081W,SRB8,,dma597,309,73,0.2362459546925566,1.0,0.0,0.410958904109589,0.0,0.0,0.0547945205479452,0.0,0.273972602739726,0.0273972602739726,0.0,0.0410958904109589,0.0,0.1917808219178082
YCR077C,PAT1,,dma599,369,60,0.1626016260162601,1.0,0.0,0.45,0.0,0.0166666666666666,0.0166666666666666,0.0,0.2166666666666666,0.0166666666666666,0.0,0.0666666666666666,0.0,0.2166666666666666
YDR193W,,,dma963,774,123,0.1589147286821705,1.0,0.0,0.1382113821138211,0.0,0.040650406504065,0.0,0.0,0.3333333333333333,0.016260162601626,0.056910569105691,0.0975609756097561,0.0,0.3170731707317073
YDR392W,SPT3,,dma1125,171,64,0.3742690058479532,1.0,0.0,0.296875,0.0,0.015625,0.078125,0.0,0.09375,0.03125,0.046875,0.203125,0.0,0.234375
YDR388W,RVS167,,dma1128,536,81,0.1511194029850746,1.0,0.0,0.1234567901234567,0.0,0.0,0.0493827160493827,0.0,0.2469135802469135,0.0864197530864197,0.0987654320987654,0.1851851851851851,0.0,0.2098765432098765
YDR421W,ARO80,,dma1131,363,122,0.3360881542699724,1.0,0.0,0.4918032786885246,0.0,0.0081967213114754,0.0163934426229508,0.0,0.1967213114754098,0.0327868852459016,0.0163934426229508,0.0163934426229508,0.0,0.221311475409836
YDR414C,ERD1,,dma1135,341,50,0.1466275659824047,1.0,0.0,0.2,0.0,0.08,0.1,0.0,0.14,0.14,0.12,0.12,0.0,0.1
YDR174W,HMO1,,dma952,399,94,0.2355889724310776,1.0,0.0,0.4680851063829787,0.0,0.0106382978723404,0.0319148936170212,0.0,0.2234042553191489,0.0,0.0,0.0106382978723404,0.0,0.2553191489361702
YDR159W,SAC3,,dma960,276,42,0.1521739130434782,1.0,0.0238095238095238,0.3095238095238095,0.0,0.0,0.0238095238095238,0.0,0.1428571428571428,0.0714285714285714,0.0714285714285714,0.119047619047619,0.0,0.238095238095238
YDR359C,EAF1,,dma1102,93,28,0.3010752688172043,1.0,0.0,0.5,0.0,0.0,0.0357142857142857,0.0,0.0357142857142857,0.0714285714285714,0.0357142857142857,0.1428571428571428,0.0,0.1785714285714285
YDR382W,RPP2B,,dma1111,529,130,0.2457466918714555,1.0,0.0,0.6,0.0,0.0076923076923076,0.023076923076923,0.0,0.1307692307692307,0.0153846153846153,0.0153846153846153,0.023076923076923,0.0,0.1846153846153846
YDR080W,VPS41,,dma883,805,196,0.2434782608695652,1.0,0.0,0.3112244897959184,0.0,0.0051020408163265,0.0255102040816326,0.0,0.2653061224489796,0.0306122448979591,0.0051020408163265,0.0663265306122449,0.0,0.2908163265306122
YDR335W,MSN5,,dma1070,391,79,0.2020460358056266,1.0,0.0,0.379746835443038,0.0,0.0126582278481012,0.1265822784810126,0.0,0.0379746835443038,0.0379746835443038,0.0759493670886076,0.0632911392405063,0.0126582278481012,0.2531645569620253
YDR334W,SWR1,,dma1071,506,154,0.3043478260869565,1.0,0.0,0.5,0.0,0.0129870129870129,0.0194805194805194,0.0,0.1558441558441558,0.0649350649350649,0.0129870129870129,0.0194805194805194,0.0,0.2142857142857142
YER155C,BEM2,,dma1444,161,56,0.3478260869565217,1.0,0.0,0.4285714285714285,0.0,0.0714285714285714,0.0,0.0,0.0892857142857142,0.0357142857142857,0.0535714285714285,0.1607142857142857,0.0,0.1607142857142857
YER048C,CAJ1,,dma1353,678,183,0.2699115044247787,1.0,0.0,0.4754098360655737,0.0,0.0163934426229508,0.0218579234972677,0.0,0.2568306010928962,0.0218579234972677,0.0218579234972677,0.0655737704918032,0.0,0.1202185792349726
