ORF,Name,Allele,Strain ID,Num_cells,Num_cells_outliers,Penetrance,normal,Cluster_normal-0,Cluster_normal-1,Cluster_normal-2,Cluster_normal-3,Cluster_normal-4,Cluster_normal-5,Cluster_normal-6,Cluster_normal-7,Cluster_normal-8,Cluster_normal-9
YER048C,CAJ1,,dma1353,291,68,0.2336769759450171,1.0,0.2941176470588235,0.0294117647058823,0.0,0.1176470588235294,0.0,0.1764705882352941,0.2794117647058823,0.0,0.0147058823529411,0.088235294117647
YJL036W,SNX4,,dma2471,139,39,0.2805755395683453,1.0,0.1538461538461538,0.282051282051282,0.0256410256410256,0.0256410256410256,0.0,0.2564102564102564,0.0769230769230769,0.0,0.1282051282051282,0.0512820512820512
YKR082W,NUP133,,dma3009,106,54,0.5094339622641509,1.0,0.1296296296296296,0.3703703703703703,0.037037037037037,0.037037037037037,0.0,0.2037037037037037,0.037037037037037,0.0,0.1111111111111111,0.074074074074074
YKL048C,ELM1,,dma2781,157,40,0.2547770700636942,1.0,0.325,0.025,0.0,0.1,0.0,0.275,0.1,0.0,0.05,0.125
YKL069W,,,dma2802,117,56,0.4786324786324786,1.0,0.1964285714285714,0.1964285714285714,0.0178571428571428,0.0178571428571428,0.0,0.2678571428571428,0.0892857142857142,0.0,0.125,0.0892857142857142
YJR118C,ILM1,,dma2723,508,186,0.3661417322834646,1.0,0.1075268817204301,0.3010752688172043,0.0161290322580645,0.1505376344086021,0.0,0.1989247311827957,0.0268817204301075,0.0,0.1827956989247312,0.0161290322580645
YKL213C,DOA1,,dma2910,126,52,0.4126984126984127,1.0,0.0961538461538461,0.1153846153846153,0.0192307692307692,0.0769230769230769,0.0,0.2692307692307692,0.0384615384615384,0.0,0.3076923076923077,0.0769230769230769
YPL161C,BEM4,,dma4906,156,51,0.3269230769230769,1.0,0.2352941176470588,0.0784313725490196,0.0,0.3333333333333333,0.0,0.196078431372549,0.0784313725490196,0.0,0.0392156862745098,0.0392156862745098
YPR135W,CTF4,,dma5136,125,51,0.408,1.0,0.196078431372549,0.0980392156862745,0.0,0.0588235294117647,0.0,0.2941176470588235,0.0784313725490196,0.0,0.0784313725490196,0.196078431372549
YBR005W,RCR1,,dma192,932,224,0.2403433476394849,1.0,0.2857142857142857,0.0089285714285714,0.0892857142857142,0.0892857142857142,0.0,0.1116071428571428,0.1741071428571428,0.0,0.1205357142857142,0.1205357142857142
