ORF,Name,Allele,Strain ID,Num_cells,Num_cells_outliers,Penetrance,normal,Cluster_normal-0,Cluster_normal-1,Cluster_normal-10,Cluster_normal-2,Cluster_normal-3,Cluster_normal-4,Cluster_normal-5,Cluster_normal-6,Cluster_normal-7,Cluster_normal-8,Cluster_normal-9
YIL068C,SEC6,sec6-4,tsa38-37C,784,497,0.6339285714285714,1.0,0.0422535211267605,0.3118712273641851,0.0,0.0221327967806841,0.0382293762575452,0.0,0.0080482897384305,0.0,0.3380281690140845,0.1368209255533199,0.1026156941649899
YDL102W,POL3,cdc2-2,tsa135-37C,195,65,0.3333333333333333,1.0,0.0769230769230769,0.0769230769230769,0.0,0.0153846153846153,0.2461538461538461,0.0,0.0,0.0,0.2461538461538461,0.3076923076923077,0.0307692307692307
YFL039C,ACT1,act1-101,tsa136-37C,411,110,0.267639902676399,1.0,0.1454545454545454,0.0818181818181818,0.0,0.009090909090909,0.1363636363636363,0.0,0.0,0.0,0.4727272727272727,0.1363636363636363,0.0181818181818181
YER008C,SEC3,sec3-2,tsa43-37C,668,363,0.5434131736526946,1.0,0.0606060606060606,0.2176308539944903,0.0,0.0220385674931129,0.0688705234159779,0.0055096418732782,0.0,0.0,0.4683195592286501,0.1129476584022038,0.0440771349862259
YDR168W,CDC37,cdc37-1,tsa317-37C,994,331,0.3329979879275654,1.0,0.0966767371601208,0.0815709969788519,0.0,0.0090634441087613,0.1993957703927492,0.0060422960725075,0.0030211480362537,0.0,0.3474320241691843,0.2114803625377643,0.0453172205438066
YLR347C,KAP95,kap95-l63a,tsa226-37C,320,89,0.278125,1.0,0.1797752808988764,0.0674157303370786,0.0,0.0,0.1685393258426966,0.0,0.0112359550561797,0.0,0.3258426966292135,0.1797752808988764,0.0674157303370786
YGR179C,OKP1,okp1-5,tsa227-37C,339,111,0.3274336283185841,1.0,0.072072072072072,0.081081081081081,0.0,0.0,0.2252252252252252,0.009009009009009,0.0,0.0,0.2612612612612612,0.3243243243243243,0.027027027027027
YBR055C,PRP6,prp6-ts,tsa367-37C,491,165,0.3360488798370672,1.0,0.1515151515151515,0.1151515151515151,0.0,0.006060606060606,0.1454545454545454,0.0181818181818181,0.006060606060606,0.0,0.3515151515151515,0.1696969696969697,0.0363636363636363
YGL116W,CDC20,cdc20-3,tsa368-37C,183,81,0.4426229508196721,1.0,0.0617283950617283,0.0246913580246913,0.0,0.074074074074074,0.1358024691358024,0.0,0.0,0.0,0.1111111111111111,0.5185185185185185,0.074074074074074
YDL043C,PRP11,prp11-ts,tsa369-37C,632,201,0.3180379746835443,1.0,0.1194029850746268,0.208955223880597,0.0,0.0149253731343283,0.1094527363184079,0.0049751243781094,0.0,0.0,0.3781094527363184,0.1194029850746268,0.044776119402985
YBL034C,STU1,stu1-5,tsa274-37C,509,167,0.3280943025540275,1.0,0.1616766467065868,0.0359281437125748,0.0,0.0239520958083832,0.1736526946107784,0.0059880239520958,0.0,0.0,0.2155688622754491,0.3772455089820359,0.0059880239520958
YDL064W,UBC9,ubc9-2,tsa370-37C,579,111,0.1917098445595854,1.0,0.1891891891891892,0.063063063063063,0.0,0.0,0.2792792792792792,0.0,0.0,0.0,0.2162162162162162,0.2342342342342342,0.018018018018018
