ORF,Name,Allele,Strain ID,Num_cells,Num_cells_outliers,Penetrance,normal,Cluster_normal-0,Cluster_normal-1,Cluster_normal-10,Cluster_normal-11,Cluster_normal-2,Cluster_normal-3,Cluster_normal-4,Cluster_normal-5,Cluster_normal-6,Cluster_normal-7,Cluster_normal-8,Cluster_normal-9
YCR100C,,,dma605,893,168,0.1881298992161254,1.0,0.0059523809523809,0.0952380952380952,0.0059523809523809,0.3095238095238095,0.0,0.244047619047619,0.0,0.0,0.0,0.0476190476190476,0.0535714285714285,0.238095238095238
YCR099C,,,dma606,792,154,0.1944444444444444,1.0,0.0,0.0649350649350649,0.0129870129870129,0.2662337662337662,0.0,0.2012987012987013,0.0,0.0,0.0,0.0714285714285714,0.0519480519480519,0.3311688311688311
YCR098C,GIT1,,dma607,750,125,0.1666666666666666,1.0,0.008,0.12,0.008,0.36,0.0,0.176,0.0,0.0,0.0,0.056,0.04,0.232
YCR095C,OCA4,,dma608,687,224,0.3260553129548763,1.0,0.0,0.0401785714285714,0.0,0.3080357142857143,0.0,0.2723214285714285,0.0,0.0,0.0,0.0089285714285714,0.0535714285714285,0.3169642857142857
YCR092C,MSH3,,dma609,847,149,0.1759149940968122,1.0,0.0,0.1208053691275167,0.0067114093959731,0.3422818791946309,0.0067114093959731,0.174496644295302,0.0,0.0,0.0,0.0604026845637583,0.0604026845637583,0.2281879194630872
YCR091W,KIN82,,dma610,879,199,0.2263936291240045,1.0,0.0,0.1155778894472361,0.0,0.2964824120603015,0.0,0.1457286432160804,0.0,0.0,0.0,0.0653266331658291,0.0552763819095477,0.321608040201005
YCR090C,,,dma611,949,154,0.1622760800842992,1.0,0.0,0.0714285714285714,0.0064935064935064,0.2532467532467532,0.0064935064935064,0.1688311688311688,0.0,0.0,0.0,0.0454545454545454,0.0519480519480519,0.3961038961038961
YCR086W,CSM1,,dma593,757,137,0.1809775429326288,1.0,0.0145985401459854,0.072992700729927,0.0145985401459854,0.3284671532846715,0.0,0.1824817518248175,0.0,0.0,0.0,0.0875912408759124,0.0583941605839416,0.2408759124087591
YCR085W,,,dma594,870,211,0.2425287356321839,1.0,0.0,0.0995260663507109,0.0,0.2985781990521327,0.0,0.1374407582938388,0.0,0.0,0.0,0.0521327014218009,0.0284360189573459,0.3838862559241706
YCR083W,TRX3,,dma595,564,150,0.2659574468085106,1.0,0.0,0.1,0.02,0.28,0.0,0.1866666666666666,0.0,0.0,0.0,0.08,0.0266666666666666,0.3066666666666666
YCR082W,AHC2,,dma596,382,95,0.2486910994764398,1.0,0.0,0.0421052631578947,0.0,0.2421052631578947,0.0105263157894736,0.2421052631578947,0.0,0.0,0.0,0.0947368421052631,0.0105263157894736,0.3578947368421052
YCR079W,PTC6,,dma598,1073,198,0.18452935694315,1.0,0.0,0.1313131313131313,0.0,0.3131313131313131,0.0101010101010101,0.1717171717171717,0.0,0.0,0.0,0.0404040404040404,0.0757575757575757,0.2575757575757575
YCR077C,PAT1,,dma599,1159,178,0.1535806729939603,1.0,0.0,0.0505617977528089,0.0,0.3089887640449438,0.0,0.2359550561797752,0.0,0.0,0.0,0.0168539325842696,0.1741573033707865,0.2134831460674157
YDL051W,LHP1,,dma641,886,180,0.2031602708803611,1.0,0.0,0.0888888888888888,0.0,0.3222222222222222,0.0055555555555555,0.2111111111111111,0.0,0.0,0.0,0.0666666666666666,0.0277777777777777,0.2777777777777778
YDL048C,STP4,,dma642,992,178,0.1794354838709677,1.0,0.0,0.1292134831460674,0.0056179775280898,0.3033707865168539,0.0,0.1123595505617977,0.0,0.0,0.0,0.0730337078651685,0.0561797752808988,0.3202247191011236
YDL050C,,,dma643,803,155,0.1930261519302615,1.0,0.0064516129032258,0.0774193548387096,0.0,0.3354838709677419,0.0,0.1870967741935484,0.0,0.0,0.0,0.0516129032258064,0.032258064516129,0.3096774193548387
YDL046W,NPC2,,dma644,626,95,0.1517571884984025,1.0,0.0105263157894736,0.0947368421052631,0.0105263157894736,0.231578947368421,0.0,0.1789473684210526,0.0,0.0,0.0,0.1368421052631579,0.0736842105263157,0.2631578947368421
YDL040C,NAT1,,dma646,850,203,0.2388235294117647,1.0,0.0,0.0689655172413793,0.0,0.3300492610837438,0.0049261083743842,0.1477832512315271,0.0,0.0,0.0,0.0344827586206896,0.0492610837438423,0.3645320197044335
YDL039C,PRM7,,dma647,1119,185,0.1653261840929401,1.0,0.0,0.1297297297297297,0.0,0.2108108108108108,0.0054054054054054,0.2918918918918919,0.0,0.0,0.0,0.0378378378378378,0.0918918918918919,0.2324324324324324
YCR044C,PER1,per1-supp1,dma575,1760,223,0.1267045454545454,1.0,0.0089686098654708,0.0941704035874439,0.0134529147982062,0.0403587443946188,0.1569506726457399,0.1838565022421524,0.0,0.0,0.0,0.1748878923766816,0.1390134529147982,0.1883408071748878
YCR076C,FUB1,,dma577,823,134,0.1628189550425273,1.0,0.0,0.1865671641791045,0.0,0.1791044776119403,0.0074626865671641,0.1641791044776119,0.0,0.0,0.0,0.0522388059701492,0.044776119402985,0.3656716417910448
YCR075C,ERS1,,dma578,564,101,0.1790780141843971,1.0,0.0297029702970297,0.099009900990099,0.0396039603960396,0.2079207920792079,0.0297029702970297,0.1485148514851485,0.0,0.0,0.0,0.1881188118811881,0.0198019801980198,0.2376237623762376
YCR073W-A,SOL2,,dma579,908,122,0.1343612334801762,1.0,0.0,0.0737704918032786,0.0327868852459016,0.319672131147541,0.0081967213114754,0.1885245901639344,0.0,0.0,0.0,0.0573770491803278,0.0491803278688524,0.2704918032786885
YCR069W,CPR4,,dma582,703,149,0.2119487908961593,1.0,0.0067114093959731,0.0738255033557047,0.0134228187919463,0.3355704697986577,0.0,0.1946308724832214,0.0,0.0,0.0,0.0738255033557047,0.0067114093959731,0.2953020134228188
YCR068W,ATG15,,dma583,692,144,0.2080924855491329,1.0,0.0,0.0763888888888889,0.0138888888888888,0.2361111111111111,0.0138888888888888,0.2013888888888889,0.0,0.0,0.0,0.0972222222222222,0.0347222222222222,0.3263888888888889
YCR067C,SED4,,dma584,751,154,0.2050599201065246,1.0,0.0064935064935064,0.0519480519480519,0.0129870129870129,0.3246753246753247,0.0064935064935064,0.1948051948051948,0.0,0.0,0.0,0.1298701298701298,0.0324675324675324,0.2402597402597402
YCR065W,HCM1,,dma585,731,115,0.1573187414500684,1.0,0.0,0.1304347826086956,0.0434782608695652,0.1565217391304348,0.017391304347826,0.1217391304347826,0.0,0.0,0.0,0.1826086956521739,0.017391304347826,0.3304347826086956
YCR063W,BUD31,,dma586,294,109,0.3707482993197279,1.0,0.0,0.0275229357798165,0.0,0.2293577981651376,0.0,0.3027522935779816,0.0,0.0,0.0,0.0091743119266055,0.0825688073394495,0.3486238532110092
YCR062W,,,dma587,580,155,0.2672413793103448,1.0,0.0,0.0580645161290322,0.0,0.3741935483870968,0.0,0.2258064516129032,0.0,0.0,0.0,0.0129032258064516,0.0580645161290322,0.2709677419354839
YDL012C,,,dma617,876,130,0.1484018264840182,1.0,0.0,0.0769230769230769,0.0,0.2615384615384615,0.0,0.1692307692307692,0.0,0.0,0.0,0.0923076923076923,0.0615384615384615,0.3384615384615385
YDL011C,,,dma618,878,189,0.2152619589977221,1.0,0.0,0.1164021164021164,0.0,0.3968253968253968,0.0,0.1428571428571428,0.0,0.0,0.0,0.0476190476190476,0.0529100529100529,0.2433862433862433
YDL010W,GRX6,,dma619,976,210,0.2151639344262295,1.0,0.0,0.0904761904761904,0.0095238095238095,0.2285714285714285,0.0047619047619047,0.1904761904761904,0.0,0.0,0.0,0.0238095238095238,0.0380952380952381,0.4142857142857143
YDL002C,NHP10,,dma621,718,120,0.1671309192200557,1.0,0.0,0.0916666666666666,0.025,0.25,0.0416666666666666,0.1416666666666666,0.0,0.0,0.0,0.075,0.0666666666666666,0.3083333333333333
YDL001W,RMD1,,dma622,659,88,0.133535660091047,1.0,0.034090909090909,0.0909090909090909,0.0568181818181818,0.1818181818181818,0.0227272727272727,0.1704545454545454,0.0,0.0,0.0,0.1931818181818181,0.0113636363636363,0.2386363636363636
YCR106W,RDS1,,dma623,1010,200,0.198019801980198,1.0,0.0,0.16,0.005,0.25,0.01,0.175,0.0,0.0,0.0,0.07,0.055,0.275
YCR089W,FIG2,,dma589,694,167,0.2406340057636887,1.0,0.0059880239520958,0.0898203592814371,0.0059880239520958,0.3832335329341317,0.0,0.1317365269461078,0.0,0.0,0.0,0.0359281437125748,0.0658682634730539,0.281437125748503
YCR088W,ABP1,,dma590,582,186,0.3195876288659793,1.0,0.0,0.043010752688172,0.0,0.3172043010752688,0.0,0.1989247311827957,0.0,0.0,0.0,0.0161290322580645,0.086021505376344,0.3387096774193548
YCR087W,,,dma591,698,140,0.2005730659025787,1.0,0.0,0.0785714285714285,0.0214285714285714,0.3428571428571428,0.0,0.2071428571428571,0.0,0.0,0.0,0.0428571428571428,0.0357142857142857,0.2714285714285714
YCR087C-A,,,dma592,877,190,0.2166476624857468,1.0,0.0,0.0842105263157894,0.0,0.3105263157894737,0.0052631578947368,0.131578947368421,0.0,0.0,0.0,0.0578947368421052,0.0684210526315789,0.3421052631578947
YDL034W,,,dma629,853,148,0.1735052754982415,1.0,0.0,0.1148648648648648,0.0,0.3175675675675675,0.0,0.1283783783783783,0.0,0.0,0.0,0.0472972972972973,0.0608108108108108,0.3310810810810811
YDL033C,SLM3,,dma630,367,67,0.1825613079019073,1.0,0.0,0.0149253731343283,0.0,0.3283582089552239,0.0,0.3432835820895522,0.0,0.0,0.0,0.0,0.0746268656716417,0.2388059701492537
YDL027C,MRX9,,dma631,1121,156,0.1391614629794826,1.0,0.0,0.1153846153846153,0.0,0.2564102564102564,0.0064102564102564,0.1858974358974359,0.0,0.0,0.0,0.0705128205128205,0.0512820512820512,0.3141025641025641
YDL026W,,,dma632,807,155,0.1920693928128872,1.0,0.0,0.064516129032258,0.0129032258064516,0.2193548387096774,0.0064516129032258,0.1935483870967742,0.0,0.0,0.0,0.0580645161290322,0.0580645161290322,0.3870967741935484
YDL025C,RTK1,,dma633,620,197,0.317741935483871,1.0,0.0,0.0304568527918781,0.0050761421319796,0.4619289340101523,0.0050761421319796,0.2030456852791878,0.0,0.0,0.0,0.0253807106598984,0.0609137055837563,0.2081218274111675
YDL024C,DIA3,,dma634,697,191,0.2740315638450502,1.0,0.0,0.1413612565445026,0.0104712041884816,0.2827225130890052,0.0157068062827225,0.1413612565445026,0.0,0.0,0.0,0.0785340314136125,0.0209424083769633,0.3089005235602094
YDL023C,,,dma635,734,127,0.1730245231607629,1.0,0.0,0.0551181102362204,0.0157480314960629,0.3543307086614173,0.0,0.1496062992125984,0.0,0.0,0.0,0.0551181102362204,0.0393700787401574,0.3307086614173228
YDL054C,MCH1,,dma637,682,154,0.2258064516129032,1.0,0.0,0.1298701298701298,0.0194805194805194,0.2922077922077922,0.0,0.1688311688311688,0.0,0.0,0.0,0.0909090909090909,0.0519480519480519,0.2467532467532467
YDL053C,PBP4,,dma638,696,129,0.1853448275862069,1.0,0.0,0.1085271317829457,0.0310077519379844,0.2403100775193798,0.0077519379844961,0.1627906976744186,0.0,0.0,0.0,0.1395348837209302,0.0465116279069767,0.2635658914728682
YDL052C,SLC1,,dma640,778,119,0.1529562982005141,1.0,0.0,0.1260504201680672,0.0084033613445378,0.2436974789915966,0.0168067226890756,0.1092436974789916,0.0,0.0,0.0,0.0924369747899159,0.042016806722689,0.361344537815126
YDL019C,OSH2,,dma614,886,148,0.1670428893905192,1.0,0.0,0.1081081081081081,0.0,0.2162162162162162,0.0,0.1418918918918918,0.0,0.0,0.0,0.027027027027027,0.054054054054054,0.4527027027027027
YDL018C,ERP3,,dma615,923,132,0.1430119176598049,1.0,0.0075757575757575,0.0606060606060606,0.0,0.2803030303030303,0.0303030303030303,0.2727272727272727,0.0,0.0,0.0,0.0757575757575757,0.0454545454545454,0.2272727272727272
YDL077C,VAM6,,dma649,293,111,0.378839590443686,1.0,0.0,0.054054054054054,0.009009009009009,0.4054054054054054,0.0,0.2702702702702703,0.0,0.0,0.0,0.009009009009009,0.009009009009009,0.2432432432432432
YDL076C,RXT3,,dma650,643,137,0.2130637636080871,1.0,0.0,0.0802919708029197,0.0291970802919708,0.3284671532846715,0.0072992700729927,0.1824817518248175,0.0,0.0,0.0,0.0948905109489051,0.0291970802919708,0.2481751824817518
YDL071C,,,dma652,727,115,0.1581843191196698,1.0,0.0,0.0782608695652174,0.008695652173913,0.1826086956521739,0.0,0.2434782608695652,0.0,0.0,0.0,0.0782608695652174,0.0608695652173913,0.3478260869565217
YCR105W,ADH7,,dma601,795,151,0.189937106918239,1.0,0.0,0.086092715231788,0.0,0.3642384105960264,0.0,0.1324503311258278,0.0,0.0,0.0,0.0728476821192053,0.0596026490066225,0.2847682119205298
YCR102W-A,,,dma602,604,119,0.1970198675496688,1.0,0.0,0.0756302521008403,0.0252100840336134,0.361344537815126,0.0168067226890756,0.1848739495798319,0.0,0.0,0.0,0.0168067226890756,0.0504201680672268,0.2689075630252101
YCR102C,,,dma603,697,150,0.2152080344332855,1.0,0.0,0.0733333333333333,0.0,0.26,0.0,0.1533333333333333,0.0,0.0,0.0,0.04,0.0533333333333333,0.42
YDL070W,BDF2,,dma653,615,205,0.3333333333333333,1.0,0.0,0.0439024390243902,0.0,0.1756097560975609,0.0048780487804878,0.2536585365853658,0.0,0.0,0.0,0.0439024390243902,0.0390243902439024,0.4390243902439024
YDL066W,IDP1,,dma654,929,131,0.1410118406889128,1.0,0.0,0.1374045801526717,0.0,0.2137404580152671,0.0305343511450381,0.1221374045801526,0.0,0.0,0.0,0.099236641221374,0.0534351145038167,0.3435114503816794
YDL065C,PEX19,,dma655,909,195,0.2145214521452145,1.0,0.0,0.1128205128205128,0.0,0.3487179487179487,0.0,0.1641025641025641,0.0,0.0,0.0,0.0307692307692307,0.0461538461538461,0.2974358974358974
YDL062W,,,dma656,685,126,0.183941605839416,1.0,0.0,0.1507936507936507,0.0,0.246031746031746,0.0079365079365079,0.1111111111111111,0.0,0.0,0.0,0.0714285714285714,0.0793650793650793,0.3333333333333333
YDL061C,RPS29B,,dma657,419,84,0.2004773269689737,1.0,0.0,0.0714285714285714,0.0,0.2261904761904762,0.0119047619047619,0.1428571428571428,0.0,0.0,0.0,0.1428571428571428,0.0357142857142857,0.369047619047619
YDL059C,RAD59,,dma658,1135,171,0.1506607929515418,1.0,0.0,0.1345029239766081,0.0175438596491228,0.2573099415204678,0.0116959064327485,0.1111111111111111,0.0,0.0,0.0,0.0584795321637426,0.0760233918128654,0.3333333333333333
YDL038C,,,dma625,920,177,0.1923913043478261,1.0,0.0,0.096045197740113,0.0056497175141242,0.3050847457627119,0.0,0.2372881355932203,0.0,0.0,0.0,0.0508474576271186,0.0451977401129943,0.2598870056497175
YDL037C,BSC1,,dma626,814,150,0.1842751842751842,1.0,0.0066666666666666,0.0733333333333333,0.0133333333333333,0.2933333333333333,0.0066666666666666,0.16,0.0,0.0,0.0,0.02,0.0533333333333333,0.3733333333333333
YDL036C,PUS9,,dma627,641,147,0.2293291731669266,1.0,0.0,0.0272108843537414,0.0,0.2925170068027211,0.0,0.1972789115646258,0.0,0.0,0.0,0.0068027210884353,0.0680272108843537,0.4081632653061224
YDR207C,UME6,,dma979,150,31,0.2066666666666666,1.0,0.0,0.0,0.0,0.3870967741935484,0.0,0.3225806451612903,0.0,0.0,0.0,0.0,0.0,0.2903225806451613
YDR128W,MTC5,,dma915,903,199,0.2203765227021041,1.0,0.0,0.0452261306532663,0.0,0.4522613065326633,0.0,0.1507537688442211,0.0,0.0,0.0,0.0201005025125628,0.185929648241206,0.1457286432160804
YDR179W-A,NVJ3,,dma971,1653,225,0.1361161524500907,1.0,0.0044444444444444,0.0533333333333333,0.0755555555555555,0.0222222222222222,0.0844444444444444,0.1022222222222222,0.0,0.0,0.0,0.1466666666666666,0.3911111111111111,0.12
YDR378C,LSM6,,dma1114,1328,166,0.125,1.0,0.0,0.108433734939759,0.0060240963855421,0.2891566265060241,0.0481927710843373,0.1325301204819277,0.0,0.0,0.0,0.0843373493975903,0.1626506024096385,0.1686746987951807
YDR174W,HMO1,,dma952,390,136,0.3487179487179487,1.0,0.0,0.0147058823529411,0.0073529411764705,0.4558823529411764,0.0,0.2941176470588235,0.0,0.0,0.0,0.0,0.0955882352941176,0.1323529411764706
YDR080W,VPS41,,dma883,628,133,0.2117834394904458,1.0,0.0,0.0526315789473684,0.0,0.3233082706766917,0.0,0.2180451127819548,0.0,0.0,0.0,0.0451127819548872,0.2180451127819548,0.1428571428571428
YEL031W,SPF1,,dma1274,1734,260,0.1499423298731257,1.0,0.0,0.1884615384615384,0.0115384615384615,0.1615384615384615,0.0461538461538461,0.1769230769230769,0.0,0.0,0.0,0.1,0.1692307692307692,0.1461538461538461
YER162C,RAD4,,dma1463,1627,257,0.157959434542102,1.0,0.0,0.0155642023346303,0.0038910505836575,0.1984435797665369,0.0505836575875486,0.4046692607003891,0.0,0.0,0.0,0.0817120622568093,0.0739299610894941,0.1712062256809338
YER151C,UBP3,,dma1447,717,180,0.2510460251046025,1.0,0.0,0.05,0.0,0.2333333333333333,0.0,0.3222222222222222,0.0,0.0,0.0,0.0111111111111111,0.0722222222222222,0.3111111111111111
YDR497C,ITR1,,dma1223,354,98,0.2768361581920904,1.0,0.0204081632653061,0.0510204081632653,0.2448979591836734,0.0510204081632653,0.0306122448979591,0.1428571428571428,0.0,0.0,0.0,0.1938775510204081,0.0612244897959183,0.2040816326530612
