ORF,Name,Allele,Strain ID,Num_cells,Num_cells_outliers,Penetrance,normal,Cluster_normal-0,Cluster_normal-1,Cluster_normal-10,Cluster_normal-11,Cluster_normal-2,Cluster_normal-3,Cluster_normal-4,Cluster_normal-5,Cluster_normal-6,Cluster_normal-7,Cluster_normal-8,Cluster_normal-9
YDL175C,AIR2,,dma755,1376,218,0.1584302325581395,1.0,0.0,0.1376146788990825,0.0137614678899082,0.0871559633027523,0.1009174311926605,0.0688073394495412,0.1330275229357798,0.128440366972477,0.0963302752293578,0.1192660550458715,0.0045871559633027,0.110091743119266
YDL056W,MBP1,,dma659,885,285,0.3220338983050847,1.0,0.0,0.119298245614035,0.0140350877192982,0.0631578947368421,0.0526315789473684,0.0210526315789473,0.0807017543859649,0.3859649122807017,0.0491228070175438,0.1368421052631579,0.0035087719298245,0.0736842105263157
YDL117W,CYK3,,dma705,739,107,0.1447902571041948,1.0,0.0,0.1308411214953271,0.0373831775700934,0.1495327102803738,0.0560747663551401,0.1588785046728972,0.0934579439252336,0.1121495327102803,0.0373831775700934,0.1308411214953271,0.0,0.0934579439252336
YDL074C,BRE1,,dma651,560,175,0.3125,1.0,0.0,0.1657142857142857,0.0285714285714285,0.1542857142857142,0.0514285714285714,0.0114285714285714,0.2,0.1828571428571428,0.0114285714285714,0.0514285714285714,0.0114285714285714,0.1314285714285714
YCL016C,DCC1,,dma473,661,117,0.1770045385779122,1.0,0.0,0.3162393162393162,0.017094017094017,0.1196581196581196,0.0341880341880341,0.0683760683760683,0.0427350427350427,0.1111111111111111,0.0769230769230769,0.1367521367521367,0.0,0.0769230769230769
YCR044C,PER1,per1-supp1,dma575,608,129,0.2121710526315789,1.0,0.0,0.1085271317829457,0.0310077519379844,0.0775193798449612,0.1472868217054263,0.1162790697674418,0.1395348837209302,0.1162790697674418,0.0775193798449612,0.0620155038759689,0.0077519379844961,0.1162790697674418
YCL061C,MRC1,,dma522,453,62,0.1368653421633554,1.0,0.0,0.3387096774193548,0.0,0.0806451612903225,0.032258064516129,0.0806451612903225,0.1290322580645161,0.0806451612903225,0.0,0.0967741935483871,0.0,0.1612903225806451
YCL060C,,,dma523,454,64,0.1409691629955947,1.0,0.0,0.203125,0.0,0.078125,0.03125,0.09375,0.21875,0.09375,0.0,0.109375,0.0,0.171875
YDL192W,ARF1,,dma784,545,75,0.1376146788990825,1.0,0.0,0.1733333333333333,0.0,0.1333333333333333,0.04,0.0933333333333333,0.1333333333333333,0.1333333333333333,0.0266666666666666,0.1066666666666666,0.0133333333333333,0.1466666666666666
YDR369C,XRS2,,dma1097,256,63,0.24609375,1.0,0.0,0.2539682539682539,0.0,0.1111111111111111,0.0476190476190476,0.0476190476190476,0.2063492063492063,0.0476190476190476,0.0952380952380952,0.1111111111111111,0.0,0.0793650793650793
YDR186C,,,dma966,342,65,0.1900584795321637,1.0,0.0,0.1692307692307692,0.0461538461538461,0.1692307692307692,0.0769230769230769,0.0461538461538461,0.123076923076923,0.1076923076923077,0.0153846153846153,0.0769230769230769,0.0,0.1692307692307692
YDR149C,,,dma947,405,81,0.2,1.0,0.0,0.2222222222222222,0.0123456790123456,0.1358024691358024,0.0493827160493827,0.1234567901234567,0.2098765432098765,0.037037037037037,0.074074074074074,0.037037037037037,0.0,0.0987654320987654
YDR159W,SAC3,,dma960,87,43,0.4942528735632184,1.0,0.0,0.3255813953488372,0.0,0.1162790697674418,0.0465116279069767,0.1162790697674418,0.0930232558139534,0.0697674418604651,0.2093023255813953,0.0,0.0,0.0232558139534883
YDR146C,SWI5,,dma927,559,120,0.2146690518783542,1.0,0.0,0.1583333333333333,0.025,0.2083333333333333,0.1,0.0416666666666666,0.0916666666666666,0.1083333333333333,0.0666666666666666,0.1083333333333333,0.0,0.0916666666666666
YDR126W,SWF1,,dma917,139,49,0.3525179856115107,1.0,0.0,0.2244897959183673,0.0816326530612244,0.0612244897959183,0.0612244897959183,0.0408163265306122,0.1428571428571428,0.1836734693877551,0.0408163265306122,0.0408163265306122,0.0,0.1224489795918367
YER117W,RPL23B,,dma1412,1740,339,0.1948275862068965,1.0,0.0,0.1002949852507374,0.0,0.0530973451327433,0.0943952802359882,0.0324483775811209,0.079646017699115,0.2772861356932153,0.0973451327433628,0.1976401179941003,0.0,0.0678466076696165
YER116C,SLX8,slx8-supp1,dma1413,298,69,0.2315436241610738,1.0,0.0,0.3333333333333333,0.0434782608695652,0.0289855072463768,0.0579710144927536,0.0434782608695652,0.072463768115942,0.0289855072463768,0.2318840579710145,0.0579710144927536,0.0,0.1014492753623188
YDR424C,DYN2,,dma1174,472,95,0.2012711864406779,1.0,0.0,0.1473684210526315,0.031578947368421,0.0210526315789473,0.0842105263157894,0.0210526315789473,0.0842105263157894,0.1263157894736842,0.2631578947368421,0.1263157894736842,0.0,0.0947368421052631
YER048C,CAJ1,,dma1353,450,104,0.2311111111111111,1.0,0.0096153846153846,0.1826923076923076,0.0096153846153846,0.0769230769230769,0.0384615384615384,0.0288461538461538,0.048076923076923,0.2403846153846154,0.0961538461538461,0.125,0.0096153846153846,0.1346153846153846
YDR503C,LPP1,,dma1220,1673,503,0.3006575014943216,1.0,0.0,0.1133200795228628,0.0019880715705765,0.0318091451292246,0.0596421471172962,0.0377733598409542,0.0695825049701789,0.3260437375745527,0.0536779324055666,0.2226640159045725,0.0,0.0834990059642147
YER161C,SPT2,,dma1464,1016,189,0.1860236220472441,1.0,0.0,0.1164021164021164,0.0264550264550264,0.0846560846560846,0.0793650793650793,0.0317460317460317,0.1005291005291005,0.2063492063492063,0.0529100529100529,0.1587301587301587,0.0105820105820105,0.1322751322751322
YEL003W,GIM4,,dma1271,483,83,0.1718426501035196,1.0,0.0,0.1325301204819277,0.036144578313253,0.108433734939759,0.036144578313253,0.072289156626506,0.0963855421686747,0.1686746987951807,0.1325301204819277,0.108433734939759,0.0,0.108433734939759
YEL061C,CIN8,,dma1302,529,104,0.1965973534971644,1.0,0.0,0.2019230769230769,0.0,0.1826923076923076,0.0288461538461538,0.0384615384615384,0.0961538461538461,0.0961538461538461,0.1153846153846153,0.1826923076923076,0.0,0.0576923076923076
YGL163C,RAD54,,dma1715,281,53,0.1886120996441281,1.0,0.0,0.2452830188679245,0.0188679245283018,0.1698113207547169,0.0377358490566037,0.0754716981132075,0.0943396226415094,0.0377358490566037,0.1320754716981132,0.0754716981132075,0.0,0.1132075471698113
YFR040W,SAP155,,dma1580,276,78,0.2826086956521739,1.0,0.0,0.141025641025641,0.0256410256410256,0.1282051282051282,0.0897435897435897,0.0128205128205128,0.0897435897435897,0.1923076923076923,0.0769230769230769,0.1282051282051282,0.0256410256410256,0.0897435897435897
YHR049W,FSH1,,dma2118,869,149,0.1714614499424626,1.0,0.0,0.1006711409395973,0.0067114093959731,0.0671140939597315,0.087248322147651,0.0738255033557047,0.1073825503355704,0.1275167785234899,0.0738255033557047,0.2013422818791946,0.0,0.1543624161073825
YHR167W,THP2,,dma2216,496,99,0.1995967741935483,1.0,0.0,0.2121212121212121,0.0101010101010101,0.0404040404040404,0.0606060606060606,0.0909090909090909,0.1414141414141414,0.0606060606060606,0.1818181818181818,0.101010101010101,0.0101010101010101,0.0909090909090909
YGR232W,NAS6,,dma1988,1588,260,0.163727959697733,1.0,0.0,0.1115384615384615,0.0076923076923076,0.1076923076923077,0.0769230769230769,0.0846153846153846,0.1576923076923077,0.123076923076923,0.0576923076923076,0.1384615384615384,0.0,0.1346153846153846
YHR191C,CTF8,,dma2228,176,42,0.2386363636363636,1.0,0.0,0.3095238095238095,0.0476190476190476,0.0952380952380952,0.0238095238095238,0.0238095238095238,0.119047619047619,0.0238095238095238,0.1428571428571428,0.1428571428571428,0.0238095238095238,0.0476190476190476
YGR283C,,,dma2040,439,89,0.2027334851936218,1.0,0.0,0.1235955056179775,0.0224719101123595,0.0449438202247191,0.0898876404494382,0.0112359550561797,0.0449438202247191,0.4044943820224719,0.0674157303370786,0.1348314606741573,0.0,0.0561797752808988
YJR070C,LIA1,,dma2642,326,62,0.1901840490797546,1.0,0.0,0.1612903225806451,0.0161290322580645,0.1451612903225806,0.032258064516129,0.064516129032258,0.2096774193548387,0.1129032258064516,0.0,0.0806451612903225,0.0,0.1774193548387097
