ORF,Name,Allele,Strain ID,Num_cells,Num_cells_outliers,Penetrance,normal,Cluster_normal-0,Cluster_normal-1,Cluster_normal-10,Cluster_normal-2,Cluster_normal-3,Cluster_normal-4,Cluster_normal-5,Cluster_normal-6,Cluster_normal-7,Cluster_normal-8,Cluster_normal-9
YLR268W,SEC22,sec22-supp1,dma3320,189,76,0.4021164021164021,1.0,0.0,0.0,0.0,0.4868421052631579,0.0263157894736842,0.1842105263157894,0.0394736842105263,0.0,0.0,0.2631578947368421,0.0
YNL120C,,,dma4029,211,65,0.3080568720379147,1.0,0.0,0.0,0.0,0.2923076923076923,0.0307692307692307,0.2153846153846154,0.0153846153846153,0.0,0.0,0.4461538461538462,0.0
YNL097C,PHO23,,dma4020,416,92,0.2211538461538461,1.0,0.0,0.0,0.0,0.25,0.0543478260869565,0.25,0.0108695652173913,0.0,0.0,0.4347826086956521,0.0
YOL030W,GAS5,,dma4319,215,52,0.241860465116279,1.0,0.0,0.0,0.0,0.3269230769230769,0.5384615384615384,0.0769230769230769,0.0,0.0,0.0,0.0576923076923076,0.0
YIL068C,SEC6,sec6-4,tsa38-37C,571,294,0.5148861646234676,1.0,0.0816326530612244,0.0068027210884353,0.0,0.4081632653061224,0.0306122448979591,0.0170068027210884,0.0068027210884353,0.1054421768707483,0.0884353741496598,0.2312925170068027,0.0238095238095238
YIL109C,SEC24,sec24-2,tsa189-37C,1337,476,0.3560209424083769,1.0,0.0798319327731092,0.0,0.0,0.1029411764705882,0.0315126050420168,0.0672268907563025,0.0042016806722689,0.0903361344537815,0.2331932773109243,0.3277310924369748,0.0630252100840336
YFL005W,SEC4,sec4-8,tsa307-37C,519,350,0.674373795761079,1.0,0.0628571428571428,0.0028571428571428,0.0028571428571428,0.2914285714285714,0.0171428571428571,0.0142857142857142,0.02,0.2257142857142857,0.0742857142857142,0.2742857142857143,0.0142857142857142
YOR075W,UFE1,ufe1-1,tsa212-37C,526,133,0.2528517110266159,1.0,0.1428571428571428,0.0,0.0,0.112781954887218,0.1278195488721804,0.0300751879699248,0.0,0.0300751879699248,0.2857142857142857,0.1954887218045112,0.075187969924812
YPR055W,SEC8,sec8-9,tsa122-37C,322,175,0.5434782608695652,1.0,0.08,0.0,0.0,0.1657142857142857,0.0285714285714285,0.0057142857142857,0.0171428571428571,0.2114285714285714,0.1542857142857142,0.3142857142857143,0.0228571428571428
YLR166C,SEC10,sec10-2,tsa63-37C,484,243,0.5020661157024794,1.0,0.0905349794238683,0.0123456790123456,0.0,0.1810699588477366,0.0329218106995884,0.0041152263374485,0.0288065843621399,0.2181069958847736,0.0987654320987654,0.3045267489711934,0.0288065843621399
YER136W,GDI1,gdi1-1,tsa64-37C,492,318,0.6463414634146342,1.0,0.0157232704402515,0.0283018867924528,0.0,0.60062893081761,0.0220125786163522,0.0094339622641509,0.0031446540880503,0.0628930817610062,0.0314465408805031,0.220125786163522,0.0062893081761006
YPR055W,SEC8,sec8-6,tsa364-37C,413,190,0.4600484261501211,1.0,0.1157894736842105,0.0052631578947368,0.0,0.1263157894736842,0.0421052631578947,0.0368421052631578,0.0526315789473684,0.2,0.1157894736842105,0.2578947368421053,0.0473684210526315
YGL145W,TIP20,tip20-5,tsa271-37C,272,245,0.9007352941176472,1.0,0.0,0.1714285714285714,0.0163265306122449,0.7877551020408163,0.0,0.0040816326530612,0.0,0.0,0.0,0.0204081632653061,0.0
YGR120C,COG2,cog2-1,tsa187-37C,387,227,0.58656330749354,1.0,0.0969162995594713,0.0,0.0,0.1629955947136563,0.052863436123348,0.0,0.0088105726872246,0.1629955947136563,0.1497797356828193,0.3127753303964757,0.052863436123348
YDR054C,CDC34,cdc34-1,tsa92-37C,1369,382,0.279035792549306,1.0,0.0916230366492146,0.0,0.0,0.1020942408376963,0.0340314136125654,0.1204188481675392,0.0026178010471204,0.0811518324607329,0.1047120418848167,0.4136125654450261,0.0497382198952879
YDR166C,SEC5,sec5-24,tsa51-37C,603,359,0.5953565505804311,1.0,0.1420612813370473,0.0027855153203342,0.0,0.1197771587743732,0.0389972144846796,0.0083565459610027,0.011142061281337,0.2590529247910863,0.1532033426183844,0.2423398328690807,0.022284122562674
YDR498C,SEC20,sec20-1,tsa55-37C,362,210,0.580110497237569,1.0,0.019047619047619,0.0047619047619047,0.0,0.3428571428571428,0.0095238095238095,0.0142857142857142,0.0476190476190476,0.0809523809523809,0.0857142857142857,0.3857142857142857,0.0095238095238095
YGR009C,SEC9,sec9-4,tsa57-37C,521,343,0.6583493282149712,1.0,0.1224489795918367,0.0,0.0,0.1020408163265306,0.032069970845481,0.0174927113702623,0.0379008746355685,0.2740524781341107,0.1166180758017492,0.2448979591836734,0.0524781341107871
YMR013C,SEC59,sec59-ts,tsa422-37C,988,379,0.3836032388663967,1.0,0.1055408970976253,0.0,0.0,0.1108179419525065,0.1108179419525065,0.079155672823219,0.0,0.0712401055408971,0.1873350923482849,0.2374670184696569,0.0976253298153034
YGL098W,USE1,use1-ts,tsa592-37C,664,377,0.5677710843373494,1.0,0.0318302387267904,0.0212201591511936,0.0026525198938992,0.5251989389920424,0.026525198938992,0.0503978779840848,0.0,0.0159151193633952,0.0848806366047745,0.2122015915119363,0.0291777188328912
