ORF,Name,Allele,Strain ID,Num_cells,Num_cells_outliers,Penetrance,normal,Cluster_normal-0,Cluster_normal-1,Cluster_normal-10,Cluster_normal-11,Cluster_normal-2,Cluster_normal-3,Cluster_normal-4,Cluster_normal-5,Cluster_normal-6,Cluster_normal-7,Cluster_normal-8,Cluster_normal-9
YDL117W,CYK3,,dma705,1278,230,0.1799687010954616,1.0,0.0,0.0,0.0,0.0347826086956521,0.2521739130434782,0.0347826086956521,0.0043478260869565,0.0695652173913043,0.0,0.0,0.6043478260869565,0.0
YCR034W,ELO2,,dma556,1719,300,0.1745200698080279,1.0,0.0066666666666666,0.0,0.0,0.0233333333333333,0.2366666666666666,0.1533333333333333,0.0166666666666666,0.35,0.0,0.0,0.2133333333333333,0.0
YDL232W,OST4,ost4-supp2,dma805,442,75,0.169683257918552,1.0,0.0133333333333333,0.0,0.0,0.2133333333333333,0.3066666666666666,0.0,0.0,0.0533333333333333,0.0,0.0,0.4133333333333333,0.0
YDR392W,SPT3,,dma1125,338,84,0.2485207100591716,1.0,0.0,0.0,0.0,0.1904761904761904,0.119047619047619,0.0357142857142857,0.0357142857142857,0.0595238095238095,0.0,0.0,0.5595238095238095,0.0
YDR389W,SAC7,,dma1127,1118,323,0.2889087656529517,1.0,0.0030959752321981,0.0,0.0,0.0495356037151702,0.3281733746130031,0.0123839009287925,0.0061919504643962,0.0092879256965944,0.0,0.0,0.5913312693498453,0.0
YDR369C,XRS2,,dma1097,141,29,0.2056737588652482,1.0,0.0344827586206896,0.0,0.0,0.0,0.4482758620689655,0.0,0.0,0.2758620689655172,0.0,0.0,0.2413793103448276,0.0
YDR289C,RTT103,,dma1037,1630,261,0.160122699386503,1.0,0.0,0.0,0.0,0.0114942528735632,0.4789272030651341,0.0076628352490421,0.0,0.0421455938697318,0.0,0.0,0.4597701149425287,0.0
YDR414C,ERD1,,dma1135,1155,252,0.2181818181818181,1.0,0.0198412698412698,0.0,0.0,0.0952380952380952,0.2579365079365079,0.0476190476190476,0.0238095238095238,0.123015873015873,0.0,0.0,0.4325396825396825,0.0
YEL042W,GDA1,,dma1290,2818,512,0.1816891412349184,1.0,0.0,0.0,0.0,0.05859375,0.2421875,0.05078125,0.00390625,0.1171875,0.0,0.0,0.52734375,0.0
YER167W,BCK2,,dma1459,2155,431,0.2,1.0,0.0046403712296983,0.0,0.0,0.0348027842227378,0.3387470997679814,0.0232018561484918,0.0,0.1832946635730858,0.0,0.0,0.4153132250580046,0.0
