ORF,Name,Allele,Strain ID,Num_cells,Num_cells_outliers,Penetrance,normal,Cluster_normal-0,Cluster_normal-1,Cluster_normal-10,Cluster_normal-11,Cluster_normal-2,Cluster_normal-3,Cluster_normal-4,Cluster_normal-5,Cluster_normal-6,Cluster_normal-7,Cluster_normal-8,Cluster_normal-9
YCR100C,,,dma605,893,227,0.2541993281075028,1.0,0.0352422907488986,0.3832599118942731,0.0,0.0,0.0,0.0,0.1101321585903083,0.0,0.0,0.2422907488986784,0.0748898678414096,0.1541850220264317
YCR099C,,,dma606,792,227,0.2866161616161616,1.0,0.0176211453744493,0.4405286343612334,0.0,0.0,0.0,0.0,0.0748898678414096,0.0,0.0044052863436123,0.2555066079295154,0.0837004405286343,0.1233480176211453
YCR098C,GIT1,,dma607,750,202,0.2693333333333333,1.0,0.0247524752475247,0.5396039603960396,0.0,0.0,0.0,0.0,0.0841584158415841,0.0,0.0,0.1831683168316831,0.0693069306930693,0.099009900990099
YCR095C,OCA4,,dma608,687,309,0.4497816593886463,1.0,0.0032362459546925,0.4886731391585761,0.0,0.0,0.0,0.0,0.0485436893203883,0.0,0.0,0.2297734627831715,0.0129449838187702,0.2168284789644013
YCR092C,MSH3,,dma609,847,221,0.2609208972845336,1.0,0.0452488687782805,0.4479638009049774,0.0,0.0,0.0,0.0,0.0588235294117647,0.0,0.004524886877828,0.2262443438914027,0.1040723981900452,0.1131221719457013
YCR091W,KIN82,,dma610,879,253,0.2878270762229806,1.0,0.0276679841897233,0.3715415019762846,0.0,0.0,0.0,0.0,0.1422924901185771,0.0,0.0,0.2885375494071146,0.0592885375494071,0.1106719367588932
YCR090C,,,dma611,949,227,0.2391991570073761,1.0,0.0484581497797356,0.4537444933920704,0.0,0.0,0.0,0.0,0.092511013215859,0.0,0.0044052863436123,0.2290748898678414,0.052863436123348,0.118942731277533
YCR086W,CSM1,,dma593,757,238,0.3143989431968296,1.0,0.0378151260504201,0.5168067226890757,0.0,0.0,0.0,0.0,0.0672268907563025,0.0,0.0168067226890756,0.2142857142857142,0.0336134453781512,0.1134453781512605
YCR085W,,,dma594,870,260,0.2988505747126437,1.0,0.0346153846153846,0.4423076923076923,0.0,0.0,0.0,0.0,0.1115384615384615,0.0,0.0038461538461538,0.3,0.0269230769230769,0.0807692307692307
YCR083W,TRX3,,dma595,564,201,0.3563829787234042,1.0,0.0199004975124378,0.417910447761194,0.0,0.0,0.0,0.0,0.0646766169154228,0.0,0.0199004975124378,0.263681592039801,0.0597014925373134,0.154228855721393
